Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2022,3,georgia-bulldogs,alabama-crimson-tide,ohio-state-buckeyes,michigan-wolverines,clemson-tigers,usc-trojans,oklahoma-sooners,arkansas-razorbacks,kentucky-wildcats,michigan-state-spartans,oklahoma-state-cowboys,utah-utes,tennessee-volunteers,byu-cougars,wake-forest-demon-deacons,baylor-bears,florida-gators,north-carolina-state-wolfpack,miami-fl-hurricanes,north-carolina-tar-heels,texas-longhorns,penn-state-nittany-lions,appalachian-state-mountaineers,marshall-thundering-herd,texas-am-aggies
adam-grosbard,2022,3,georgia-bulldogs,ohio-state-buckeyes,alabama-crimson-tide,michigan-wolverines,oklahoma-sooners,usc-trojans,clemson-tigers,arkansas-razorbacks,oklahoma-state-cowboys,michigan-state-spartans,kentucky-wildcats,byu-cougars,utah-utes,tennessee-volunteers,north-carolina-state-wolfpack,miami-fl-hurricanes,texas-am-aggies,baylor-bears,ole-miss-rebels,florida-gators,wake-forest-demon-deacons,oregon-ducks,marshall-thundering-herd,penn-state-nittany-lions,oregon-state-beavers
adam-zucker,2022,3,georgia-bulldogs,ohio-state-buckeyes,michigan-wolverines,alabama-crimson-tide,oklahoma-sooners,clemson-tigers,byu-cougars,arkansas-razorbacks,miami-fl-hurricanes,oklahoma-state-cowboys,kentucky-wildcats,michigan-state-spartans,ole-miss-rebels,tennessee-volunteers,usc-trojans,wake-forest-demon-deacons,north-carolina-state-wolfpack,baylor-bears,appalachian-state-mountaineers,pittsburgh-panthers,florida-gators,utah-utes,texas-longhorns,air-force-falcons,texas-am-aggies
andy-greder,2022,3,georgia-bulldogs,alabama-crimson-tide,ohio-state-buckeyes,clemson-tigers,michigan-wolverines,oklahoma-sooners,michigan-state-spartans,kentucky-wildcats,arkansas-razorbacks,utah-utes,oklahoma-state-cowboys,florida-gators,cincinnati-bearcats,miami-fl-hurricanes,tennessee-volunteers,pittsburgh-panthers,ole-miss-rebels,byu-cougars,baylor-bears,north-carolina-state-wolfpack,usc-trojans,minnesota-golden-gophers,wake-forest-demon-deacons,oregon-ducks,penn-state-nittany-lions
ben-portnoy,2022,3,alabama-crimson-tide,ohio-state-buckeyes,georgia-bulldogs,michigan-wolverines,oklahoma-sooners,usc-trojans,clemson-tigers,utah-utes,michigan-state-spartans,baylor-bears,oklahoma-state-cowboys,arkansas-razorbacks,kentucky-wildcats,notre-dame-fighting-irish,miami-fl-hurricanes,north-carolina-state-wolfpack,wake-forest-demon-deacons,byu-cougars,texas-am-aggies,pittsburgh-panthers,tennessee-volunteers,florida-gators,appalachian-state-mountaineers,ole-miss-rebels,cincinnati-bearcats
bennett-durando,2022,3,georgia-bulldogs,alabama-crimson-tide,ohio-state-buckeyes,michigan-wolverines,clemson-tigers,oklahoma-sooners,byu-cougars,usc-trojans,kentucky-wildcats,utah-utes,arkansas-razorbacks,baylor-bears,michigan-state-spartans,miami-fl-hurricanes,oklahoma-state-cowboys,tennessee-volunteers,marshall-thundering-herd,north-carolina-state-wolfpack,wake-forest-demon-deacons,penn-state-nittany-lions,florida-gators,texas-longhorns,oregon-ducks,pittsburgh-panthers,ole-miss-rebels
blair-kerkhoff,2022,3,georgia-bulldogs,alabama-crimson-tide,ohio-state-buckeyes,michigan-wolverines,clemson-tigers,oklahoma-sooners,usc-trojans,arkansas-razorbacks,kentucky-wildcats,oklahoma-state-cowboys,michigan-state-spartans,miami-fl-hurricanes,north-carolina-state-wolfpack,tennessee-volunteers,byu-cougars,baylor-bears,florida-gators,utah-utes,ole-miss-rebels,penn-state-nittany-lions,wake-forest-demon-deacons,kansas-state-wildcats,marshall-thundering-herd,appalachian-state-mountaineers,texas-am-aggies
bob-asmussen,2022,3,ohio-state-buckeyes,georgia-bulldogs,alabama-crimson-tide,clemson-tigers,michigan-wolverines,oklahoma-sooners,oklahoma-state-cowboys,michigan-state-spartans,kentucky-wildcats,arkansas-razorbacks,byu-cougars,utah-utes,miami-fl-hurricanes,florida-gators,tennessee-volunteers,usc-trojans,north-carolina-state-wolfpack,wake-forest-demon-deacons,ole-miss-rebels,texas-longhorns,penn-state-nittany-lions,cincinnati-bearcats,kansas-state-wildcats,baylor-bears,oregon-ducks
brett-mcmurphy,2022,3,georgia-bulldogs,alabama-crimson-tide,ohio-state-buckeyes,michigan-wolverines,miami-fl-hurricanes,kentucky-wildcats,arkansas-razorbacks,usc-trojans,oklahoma-state-cowboys,oklahoma-sooners,tennessee-volunteers,clemson-tigers,marshall-thundering-herd,byu-cougars,north-carolina-state-wolfpack,florida-gators,utah-utes,michigan-state-spartans,wake-forest-demon-deacons,appalachian-state-mountaineers,baylor-bears,air-force-falcons,penn-state-nittany-lions,texas-longhorns,oregon-state-beavers
brian-fonseca,2022,3,georgia-bulldogs,alabama-crimson-tide,ohio-state-buckeyes,michigan-wolverines,clemson-tigers,oklahoma-sooners,usc-trojans,oklahoma-state-cowboys,kentucky-wildcats,byu-cougars,arkansas-razorbacks,miami-fl-hurricanes,north-carolina-state-wolfpack,florida-gators,utah-utes,baylor-bears,texas-longhorns,wake-forest-demon-deacons,ole-miss-rebels,tennessee-volunteers,michigan-state-spartans,kansas-state-wildcats,mississippi-state-bulldogs,texas-tech-red-raiders,florida-state-seminoles
