Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,notre-dame-fighting-irish,baylor-bears,ohio-state-buckeyes,ole-miss-rebels,oklahoma-state-cowboys,michigan-state-spartans,utah-utes,pittsburgh-panthers,oklahoma-sooners,oregon-ducks,byu-cougars,louisiana-lafayette-ragin-cajuns,iowa-hawkeyes,north-carolina-state-wolfpack,houston-cougars,clemson-tigers,arkansas-razorbacks,wake-forest-demon-deacons,texas-am-aggies,utah-state-aggies,utsa-roadrunners
adam-grosbard,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,notre-dame-fighting-irish,baylor-bears,ole-miss-rebels,oklahoma-state-cowboys,ohio-state-buckeyes,michigan-state-spartans,byu-cougars,utah-utes,pittsburgh-panthers,oklahoma-sooners,oregon-ducks,arkansas-razorbacks,houston-cougars,texas-am-aggies,iowa-hawkeyes,wake-forest-demon-deacons,north-carolina-state-wolfpack,wisconsin-badgers,louisiana-lafayette-ragin-cajuns,clemson-tigers,utsa-roadrunners
adam-zucker,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,notre-dame-fighting-irish,baylor-bears,ole-miss-rebels,ohio-state-buckeyes,oklahoma-state-cowboys,pittsburgh-panthers,michigan-state-spartans,byu-cougars,utah-utes,oklahoma-sooners,iowa-hawkeyes,wake-forest-demon-deacons,oregon-ducks,arkansas-razorbacks,north-carolina-state-wolfpack,clemson-tigers,louisiana-lafayette-ragin-cajuns,utah-state-aggies,kentucky-wildcats,texas-am-aggies,san-diego-state-aztecs
andy-greder,2021,15,alabama-crimson-tide,michigan-wolverines,cincinnati-bearcats,georgia-bulldogs,notre-dame-fighting-irish,baylor-bears,ohio-state-buckeyes,ole-miss-rebels,oklahoma-state-cowboys,michigan-state-spartans,byu-cougars,oklahoma-sooners,utah-utes,houston-cougars,oregon-ducks,pittsburgh-panthers,louisiana-lafayette-ragin-cajuns,iowa-hawkeyes,wake-forest-demon-deacons,north-carolina-state-wolfpack,arkansas-razorbacks,clemson-tigers,kentucky-wildcats,texas-am-aggies,san-diego-state-aztecs
ben-portnoy,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,baylor-bears,notre-dame-fighting-irish,ohio-state-buckeyes,ole-miss-rebels,pittsburgh-panthers,utah-utes,oklahoma-state-cowboys,michigan-state-spartans,byu-cougars,oklahoma-sooners,wake-forest-demon-deacons,oregon-ducks,north-carolina-state-wolfpack,clemson-tigers,iowa-hawkeyes,houston-cougars,louisiana-lafayette-ragin-cajuns,utsa-roadrunners,arkansas-razorbacks,utah-state-aggies,san-diego-state-aztecs
blair-kerkhoff,2021,15,michigan-wolverines,alabama-crimson-tide,cincinnati-bearcats,georgia-bulldogs,notre-dame-fighting-irish,ohio-state-buckeyes,baylor-bears,ole-miss-rebels,utah-utes,pittsburgh-panthers,oklahoma-state-cowboys,oregon-ducks,byu-cougars,michigan-state-spartans,oklahoma-sooners,houston-cougars,louisiana-lafayette-ragin-cajuns,wake-forest-demon-deacons,north-carolina-state-wolfpack,clemson-tigers,san-diego-state-aztecs,arkansas-razorbacks,army-west-point-black-knights,kentucky-wildcats,texas-am-aggies
brett-mcmurphy,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,baylor-bears,notre-dame-fighting-irish,ole-miss-rebels,oklahoma-state-cowboys,ohio-state-buckeyes,utah-utes,byu-cougars,michigan-state-spartans,oklahoma-sooners,pittsburgh-panthers,kentucky-wildcats,louisiana-lafayette-ragin-cajuns,oregon-ducks,arkansas-razorbacks,texas-am-aggies,north-carolina-state-wolfpack,houston-cougars,iowa-hawkeyes,utsa-roadrunners,utah-state-aggies,wake-forest-demon-deacons
brian-howell,2021,15,alabama-crimson-tide,cincinnati-bearcats,michigan-wolverines,georgia-bulldogs,notre-dame-fighting-irish,baylor-bears,ohio-state-buckeyes,oklahoma-state-cowboys,ole-miss-rebels,byu-cougars,utah-utes,pittsburgh-panthers,oklahoma-sooners,michigan-state-spartans,oregon-ducks,north-carolina-state-wolfpack,clemson-tigers,iowa-hawkeyes,houston-cougars,louisiana-lafayette-ragin-cajuns,wake-forest-demon-deacons,utsa-roadrunners,kentucky-wildcats,utah-state-aggies,san-diego-state-aztecs
bryce-miller,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,notre-dame-fighting-irish,ohio-state-buckeyes,ole-miss-rebels,baylor-bears,oklahoma-state-cowboys,oklahoma-sooners,michigan-state-spartans,utah-utes,byu-cougars,pittsburgh-panthers,clemson-tigers,north-carolina-state-wolfpack,arkansas-razorbacks,oregon-ducks,texas-am-aggies,iowa-hawkeyes,houston-cougars,wake-forest-demon-deacons,minnesota-golden-gophers,wisconsin-badgers,louisiana-lafayette-ragin-cajuns
chris-murray,2021,15,alabama-crimson-tide,georgia-bulldogs,cincinnati-bearcats,michigan-wolverines,notre-dame-fighting-irish,baylor-bears,oklahoma-state-cowboys,ohio-state-buckeyes,ole-miss-rebels,oklahoma-sooners,byu-cougars,pittsburgh-panthers,utah-utes,louisiana-lafayette-ragin-cajuns,michigan-state-spartans,iowa-hawkeyes,oregon-ducks,wake-forest-demon-deacons,north-carolina-state-wolfpack,kentucky-wildcats,utsa-roadrunners,utah-state-aggies,san-diego-state-aztecs,houston-cougars,clemson-tigers
chuck-carlton,2021,15,alabama-crimson-tide,michigan-wolverines,cincinnati-bearcats,georgia-bulldogs,baylor-bears,notre-dame-fighting-irish,ohio-state-buckeyes,utah-utes,ole-miss-rebels,oklahoma-state-cowboys,michigan-state-spartans,byu-cougars,pittsburgh-panthers,oregon-ducks,oklahoma-sooners,louisiana-lafayette-ragin-cajuns,wake-forest-demon-deacons,north-carolina-state-wolfpack,clemson-tigers,utsa-roadrunners,iowa-hawkeyes,houston-cougars,arkansas-razorbacks,texas-am-aggies,utah-state-aggies
colten-bartholomew,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,ohio-state-buckeyes,baylor-bears,notre-dame-fighting-irish,ole-miss-rebels,oklahoma-state-cowboys,michigan-state-spartans,utah-utes,oklahoma-sooners,byu-cougars,pittsburgh-panthers,iowa-hawkeyes,oregon-ducks,houston-cougars,north-carolina-state-wolfpack,clemson-tigers,wake-forest-demon-deacons,texas-am-aggies,mississippi-state-bulldogs,minnesota-golden-gophers,wisconsin-badgers,louisiana-lafayette-ragin-cajuns
damien-sordelett,2021,15,cincinnati-bearcats,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,notre-dame-fighting-irish,baylor-bears,ohio-state-buckeyes,ole-miss-rebels,utah-utes,oklahoma-state-cowboys,pittsburgh-panthers,byu-cougars,oklahoma-sooners,michigan-state-spartans,oregon-ducks,houston-cougars,louisiana-lafayette-ragin-cajuns,clemson-tigers,wake-forest-demon-deacons,utsa-roadrunners,north-carolina-state-wolfpack,purdue-boilermakers,appalachian-state-mountaineers,utah-state-aggies,iowa-hawkeyes
darren-haynes,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,notre-dame-fighting-irish,ohio-state-buckeyes,baylor-bears,michigan-state-spartans,oklahoma-state-cowboys,ole-miss-rebels,byu-cougars,utah-utes,oklahoma-sooners,pittsburgh-panthers,houston-cougars,oregon-ducks,iowa-hawkeyes,wake-forest-demon-deacons,north-carolina-state-wolfpack,texas-am-aggies,louisiana-lafayette-ragin-cajuns,arkansas-razorbacks,clemson-tigers,wisconsin-badgers,kentucky-wildcats
dave-reardon,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,baylor-bears,notre-dame-fighting-irish,ohio-state-buckeyes,oklahoma-state-cowboys,ole-miss-rebels,byu-cougars,utah-utes,oklahoma-sooners,pittsburgh-panthers,michigan-state-spartans,houston-cougars,louisiana-lafayette-ragin-cajuns,clemson-tigers,arkansas-razorbacks,kentucky-wildcats,north-carolina-state-wolfpack,utah-state-aggies,texas-am-aggies,utsa-roadrunners,san-diego-state-aztecs,wake-forest-demon-deacons
david-briggs,2021,15,michigan-wolverines,alabama-crimson-tide,georgia-bulldogs,cincinnati-bearcats,baylor-bears,notre-dame-fighting-irish,ohio-state-buckeyes,utah-utes,oklahoma-state-cowboys,ole-miss-rebels,byu-cougars,michigan-state-spartans,pittsburgh-panthers,oklahoma-sooners,iowa-hawkeyes,wake-forest-demon-deacons,houston-cougars,oregon-ducks,north-carolina-state-wolfpack,louisiana-lafayette-ragin-cajuns,clemson-tigers,kentucky-wildcats,utah-state-aggies,arkansas-razorbacks,minnesota-golden-gophers
david-jablonski,2021,15,cincinnati-bearcats,michigan-wolverines,alabama-crimson-tide,notre-dame-fighting-irish,georgia-bulldogs,baylor-bears,ohio-state-buckeyes,ole-miss-rebels,oklahoma-state-cowboys,oklahoma-sooners,utah-utes,oregon-ducks,iowa-hawkeyes,houston-cougars,michigan-state-spartans,byu-cougars,pittsburgh-panthers,wake-forest-demon-deacons,louisiana-lafayette-ragin-cajuns,utsa-roadrunners,north-carolina-state-wolfpack,utah-state-aggies,san-diego-state-aztecs,clemson-tigers,northern-illinois-huskies
don-williams,2021,15,alabama-crimson-tide,michigan-wolverines,georgia-bulldogs,cincinnati-bearcats,notre-dame-fighting-irish,ohio-state-buckeyes,baylor-bears,ole-miss-rebels,oklahoma-state-cowboys,byu-cougars,utah-utes,oklahoma-sooners,michigan-state-spartans,oregon-ducks,pittsburgh-panthers,arkansas-razorbacks,iowa-hawkeyes,wisconsin-badgers,clemson-tigers,wake-forest-demon-deacons,purdue-boilermakers,texas-am-aggies,penn-state-nittany-lions,north-carolina-state-wolfpack,houston-cougars
dylan-sinn,2021,15,michigan-wolverines,alabama-crimson-tide,cincinnati-bearcats,georgia-bulldogs,notre-dame-fighting-irish,ohio-state-buckeyes,oklahoma-state-cowboys,baylor-bears,ole-miss-rebels,louisiana-lafayette-ragin-cajuns,oklahoma-sooners,byu-cougars,pittsburgh-panthers,utah-utes,houston-cougars,michigan-state-spartans,north-carolina-state-wolfpack,clemson-tigers,san-diego-state-aztecs,oregon-ducks,wisconsin-badgers,purdue-boilermakers,wake-forest-demon-deacons,appalachian-state-mountaineers,penn-state-nittany-lions
eric-hansen,2021,15,alabama-crimson-tide,cincinnati-bearcats,michigan-wolverines,georgia-bulldogs,notre-dame-fighting-irish,baylor-bears,ohio-state-buckeyes,ole-miss-rebels,byu-cougars,oklahoma-state-cowboys,utah-utes,oklahoma-sooners,michigan-state-spartans,pittsburgh-panthers,arkansas-razorbacks,oregon-ducks,louisiana-lafayette-ragin-cajuns,clemson-tigers,wisconsin-badgers,texas-am-aggies,wake-forest-demon-deacons,north-carolina-state-wolfpack,kentucky-wildcats,purdue-boilermakers,iowa-hawkeyes
