Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2021,2,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,texas-am-aggies,clemson-tigers,iowa-state-cyclones,cincinnati-bearcats,oregon-ducks,florida-gators,notre-dame-fighting-irish,usc-trojans,iowa-hawkeyes,penn-state-nittany-lions,ucla-bruins,wisconsin-badgers,texas-longhorns,virginia-tech-hokies,miami-fl-hurricanes,north-carolina-tar-heels,indiana-hoosiers,coastal-carolina-chanticleers,arizona-state-sun-devils,tcu-horned-frogs,lsu-tigers
adam-grosbard,2021,2,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,texas-am-aggies,oklahoma-sooners,clemson-tigers,cincinnati-bearcats,iowa-state-cyclones,notre-dame-fighting-irish,florida-gators,iowa-hawkeyes,oregon-ducks,usc-trojans,penn-state-nittany-lions,miami-fl-hurricanes,texas-longhorns,coastal-carolina-chanticleers,wisconsin-badgers,north-carolina-tar-heels,ucla-bruins,ole-miss-rebels,utah-utes,liberty-flames,arizona-state-sun-devils,tcu-horned-frogs
adam-zucker,2021,2,alabama-crimson-tide,ohio-state-buckeyes,georgia-bulldogs,iowa-hawkeyes,oklahoma-sooners,texas-am-aggies,clemson-tigers,notre-dame-fighting-irish,penn-state-nittany-lions,ucla-bruins,virginia-tech-hokies,usc-trojans,cincinnati-bearcats,oregon-ducks,utah-utes,texas-longhorns,ole-miss-rebels,florida-gators,iowa-state-cyclones,coastal-carolina-chanticleers,ucf-knights,miami-fl-hurricanes,florida-state-seminoles,wisconsin-badgers,kansas-state-wildcats
andy-greder,2021,2,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,clemson-tigers,texas-am-aggies,cincinnati-bearcats,oregon-ducks,notre-dame-fighting-irish,iowa-hawkeyes,iowa-state-cyclones,florida-gators,texas-longhorns,ucla-bruins,usc-trojans,penn-state-nittany-lions,wisconsin-badgers,miami-fl-hurricanes,utah-utes,ole-miss-rebels,coastal-carolina-chanticleers,lsu-tigers,arizona-state-sun-devils,virginia-tech-hokies,north-carolina-tar-heels
ben-portnoy,2021,2,georgia-bulldogs,alabama-crimson-tide,ohio-state-buckeyes,oklahoma-sooners,clemson-tigers,notre-dame-fighting-irish,iowa-state-cyclones,texas-am-aggies,cincinnati-bearcats,wisconsin-badgers,oregon-ducks,iowa-hawkeyes,florida-gators,ole-miss-rebels,usc-trojans,texas-longhorns,miami-fl-hurricanes,penn-state-nittany-lions,north-carolina-tar-heels,liberty-flames,ucla-bruins,lsu-tigers,indiana-hoosiers,coastal-carolina-chanticleers,louisiana-lafayette-ragin-cajuns
bennett-conlin,2021,2,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,clemson-tigers,cincinnati-bearcats,texas-am-aggies,oregon-ducks,texas-longhorns,iowa-state-cyclones,penn-state-nittany-lions,usc-trojans,iowa-hawkeyes,florida-gators,notre-dame-fighting-irish,ole-miss-rebels,virginia-tech-hokies,ucla-bruins,coastal-carolina-chanticleers,north-carolina-tar-heels,utah-utes,wisconsin-badgers,arizona-state-sun-devils,miami-fl-hurricanes,liberty-flames
blair-kerkhoff,2021,2,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,texas-am-aggies,clemson-tigers,cincinnati-bearcats,notre-dame-fighting-irish,iowa-state-cyclones,oregon-ducks,florida-gators,penn-state-nittany-lions,usc-trojans,iowa-hawkeyes,ucla-bruins,texas-longhorns,lsu-tigers,wisconsin-badgers,coastal-carolina-chanticleers,virginia-tech-hokies,ole-miss-rebels,north-carolina-tar-heels,arizona-state-sun-devils,miami-fl-hurricanes,indiana-hoosiers
brett-mcmurphy,2021,2,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,texas-am-aggies,oklahoma-sooners,clemson-tigers,penn-state-nittany-lions,iowa-hawkeyes,ucla-bruins,notre-dame-fighting-irish,iowa-state-cyclones,texas-longhorns,cincinnati-bearcats,virginia-tech-hokies,oregon-ducks,utah-utes,usc-trojans,florida-gators,arizona-state-sun-devils,wisconsin-badgers,ole-miss-rebels,ucf-knights,oklahoma-state-cowboys,liberty-flames,miami-fl-hurricanes
brian-howell,2021,2,alabama-crimson-tide,oklahoma-sooners,georgia-bulldogs,ohio-state-buckeyes,texas-am-aggies,clemson-tigers,notre-dame-fighting-irish,cincinnati-bearcats,iowa-hawkeyes,usc-trojans,iowa-state-cyclones,ucla-bruins,penn-state-nittany-lions,oregon-ducks,florida-gators,utah-utes,texas-longhorns,virginia-tech-hokies,wisconsin-badgers,north-carolina-tar-heels,miami-fl-hurricanes,coastal-carolina-chanticleers,ucf-knights,michigan-state-spartans,michigan-wolverines
bryce-miller,2021,2,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,texas-am-aggies,oklahoma-sooners,clemson-tigers,cincinnati-bearcats,notre-dame-fighting-irish,iowa-state-cyclones,florida-gators,oregon-ducks,iowa-hawkeyes,usc-trojans,texas-longhorns,penn-state-nittany-lions,ucla-bruins,arizona-state-sun-devils,virginia-tech-hokies,wisconsin-badgers,coastal-carolina-chanticleers,ole-miss-rebels,utah-utes,north-carolina-tar-heels,michigan-wolverines,miami-fl-hurricanes
