Teams,Borda Points
clemson-tigers,302
alabama-crimson-tide,253
georgia-bulldogs,168
oklahoma-sooners,100
ohio-state-buckeyes,60
lsu-tigers,26
texas-longhorns,8
michigan-wolverines,6
florida-gators,4
auburn-tigers,2
utah-utes,1
notre-dame-fighting-irish,0
texas-am-aggies,0
penn-state-nittany-lions,0
washington-huskies,0
oregon-ducks,0
michigan-state-spartans,0
ucf-knights,0
wisconsin-badgers,0
tcu-horned-frogs,0
washington-state-cougars,0
syracuse-orange,0
iowa-hawkeyes,0
stanford-cardinal,0
boise-state-broncos,0
iowa-state-cyclones,0
mississippi-state-bulldogs,0
virginia-cavaliers,0
nebraska-cornhuskers,0
memphis-tigers,0
army-west-point-black-knights,0
cincinnati-bearcats,0
miami-fl-hurricanes,0
arizona-state-sun-devils,0
oklahoma-state-cowboys,0
minnesota-golden-gophers,0
appalachian-state-mountaineers,0
usc-trojans,0
boston-college-eagles,0
north-carolina-tar-heels,0
