Player,Borda Points
Yelich,415
Baez,250
Arenado,203
Freeman,174
DeGrom,141
Goldschmidt,115
Cain,109
Story,108
Carpenter,105
Scherzer,59
Rendon,21
AcunaJr,19
Nola,16
Turner,10
Muncy,8
Aguilar,7
Rizzo,6
Markakis,2
Suarez,2
