Player,Borda Points
Betts,410
Trout,265
Ramirez,208
Martinez,198
Bregman,192
Lindor,169
Chapman,141
DavisC,41
Snell,38
Verlander,26
Haniger,16
Judge,10
Bogaerts,9
Altuve,9
Treinen,7
Simmons,7
Merrifield,6
Diaz,5
Stanton,4
Lowrie,3
Gregorius,3
Bauer,1
Sale,1
Hicks,1
