Player,Borda Points
Bryant,415
Murphy,245
Seager,240
Rizzo,202
Arenado,199
Freeman,129
Votto,100
Cespedes,45
Turner,44
Scherzer,39
Goldschmidt,18
Crawford,15
Segura,14
Posey,11
LeMahieu,8
Bumgarner,7
Ramos,6
Familia,6
Syndergaard,5
Yelich,5
Russell,5
Grandal,4
Hendriks,2
Braun,2
Molina,2
Blackmon,1
Cueto,1
