Player,Borda Points
AcunaJr,420
Betts,270
Freeman,227
Olson,223
Carroll,165
Soto,106
Riley,68
Arraez,67
Lindor,52
Bellinger,49
Contreras,39
Harper,36
Snell,16
Kim,5
Tatis,5
Albies,4
Webb,3
Alonso,3
Ozuna,2
Swanson,2
Schwarber,2
Williams,2
Walker,1
Castellanos,1
Friedl,1
Gallen,1
