Player,Borda Points
Freeman,410
Betts,268
Machado,221
Tatis,201
Soto,172
Ozuna,167
Turner,83
Yastrzemski,81
Seager,43
Bauer,32
Story,23
AcunaJr,21
Smith,16
Darvish,14
Goldschmidt,9
Belt,2
Myers,2
Fried,1
Swanson,1
Williams,1
Happ,1
Tepera,1
