Player,Borda Points
Abreu,374
Ramirez,303
LeMahieu,230
Bieber,173
Trout,172
Cruz,128
Anderson,125
Lowe,104
Voit,85
Rendon,42
Hernandez,8
Verdugo,6
Hendriks,4
Ryu,4
Springer,4
Buxton,2
Bogaerts,1
Rosario,1
Fletcher,1
Perez,1
Keuchel,1
Lewis,1
