Player,Borda Points
Trout,150
Martinez,85
Brantley,64
Abreu,29
Cruz,26
Cano,24
Bautista,17
Cabrera,16
Donaldson,14
Hernandez,13
Kluber,7
Gordon,3
Jones,1
Holland,1
Seager,0
Beltre,0
Altuve,0
Pujols,0
Kendrick,0
Shields,0
