Year,League,Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2017,NL,Mark Bowman,MLB.com,ATL,Bryant,Stanton,Votto,Arenado,Goldschmidt,Rendon,Pham,Seager,Blackmon,Turner
2017,NL,Charles Odum,The Associated Press,ATL,Goldschmidt,Arenado,Stanton,Votto,Blackmon,Rendon,Bryant,Harper,Bellinger,Murphy
2017,NL,Nick Piecoro,The Arizona Republic,AZ,Votto,Stanton,Goldschmidt,Arenado,Scherzer,Blackmon,Bryant,Rendon,Martinez,Ozuna
2017,NL,Bob Nightengale,USA Today,AZ,Goldschmidt,Blackmon,Stanton,Arenado,Votto,Rendon,Bellinger,Martinez,Rizzo,Zimmerman
2017,NL,Mark Gonzales,Chicago Tribune,CHI,Goldschmidt,Votto,Blackmon,Stanton,Arenado,Rendon,Rizzo,Bellinger,Ozuna,Bryant
2017,NL,Jesse Rogers,ESPN.com,CHI,Votto,Stanton,Goldschmidt,Rendon,Rizzo,Bryant,Arenado,Blackmon,Bellinger,Martinez
2017,NL,C. Trent Rosecrans,Cincinnati Enquirer,CIN,Votto,Stanton,Blackmon,Goldschmidt,Arenado,Bryant,Rendon,Scherzer,Turner,Pham
2017,NL,Mark Sheldon,MLB.com,CIN,Votto,Goldschmidt,Stanton,Arenado,Rendon,Blackmon,Turner,Pham,Bryant,Ozuna
2017,NL,Tracy Ringolsby,MLB.com,COL,Blackmon,Goldschmidt,Arenado,Votto,Bryant,Stanton,Kershaw,Rendon,Scherzer,Rizzo
2017,NL,Patrick Saunders,The Denver Post,COL,Blackmon,Votto,Arenado,Stanton,Goldschmidt,Rendon,Bryant,Turner,Scherzer,Pham
2017,NL,Ken Gurnick,MLB.com,LA,Arenado,Blackmon,Stanton,Votto,Goldschmidt,Jansen,Bryant,Scherzer,Bellinger,Turner
2017,NL,J.P. Hoornstra,Southern California News Group,LA,Stanton,Votto,Bryant,Arenado,Goldschmidt,Rendon,Blackmon,Pham,Scherzer,Turner
2017,NL,Craig DavisC,South Florida Sun Sentinel,MIA,Stanton,Arenado,Votto,Goldschmidt,Blackmon,Bryant,Bellinger,Rendon,Ozuna,Harper
2017,NL,Joe Frisaro,MLB.com,MIA,Stanton,Blackmon,Votto,Goldschmidt,Rendon,Arenado,Bryant,Seager,Murphy,Ozuna
2017,NL,Todd Rosiak,Milwaukee Journal Sentinel,MIL,Stanton,Votto,Arenado,Goldschmidt,Rendon,Blackmon,Scherzer,Bryant,Kershaw,Greinke
2017,NL,Adam McCalvy,MLB.com,MIL,Votto,Stanton,Arenado,Goldschmidt,Bryant,Rendon,Blackmon,Turner,Pham,Ozuna
2017,NL,Marc Carig,Newsday,NY,Votto,Stanton,Blackmon,Arenado,Rendon,Bryant,Scherzer,Goldschmidt,Turner,Pham
2017,NL,Anthony DiComo,MLB.com,NY,Stanton,Votto,Blackmon,Arenado,Bryant,Goldschmidt,Rendon,Turner,Pham,Scherzer
2017,NL,Todd Zolecki,MLB.com,PHI,Votto,Stanton,Blackmon,Goldschmidt,Arenado,Bryant,Rendon,Harper,Bellinger,Turner
2017,NL,Jim Salisbury,NBC Sports Philadelphia,PHI,Arenado,Goldschmidt,Votto,Stanton,Blackmon,Bryant,Rendon,Turner,Bellinger,Harper
2017,NL,Stephen J. Nesbitt,Pittsburgh Post-Gazette,PIT,Votto,Stanton,Arenado,Goldschmidt,Rendon,Bryant,Blackmon,Turner,Scherzer,Pham
2017,NL,Rob Biertempfel,Pittsburgh Tribune-Review,PIT,Stanton,Votto,Goldschmidt,Arenado,Blackmon,Rendon,Turner,Harper,Rizzo,Bryant
2017,NL,Scott Miller,Bleacher Report,SD,Goldschmidt,Arenado,Stanton,Blackmon,Votto,Bryant,Turner,Rendon,Martinez,Bellinger
2017,NL,Dennis Lin,San Diego Union-Tribune,SD,Votto,Stanton,Arenado,Goldschmidt,Blackmon,Rendon,Bellinger,Bryant,Turner,Martinez
2017,NL,Andrew Baggarly,San Jose Mercury News,SF,Stanton,Votto,Goldschmidt,Arenado,Bryant,Bellinger,Rendon,Blackmon,Turner,Bradley
2017,NL,Henry Schulman,San Francisco Chronicle,SF,Stanton,Votto,Arenado,Goldschmidt,Rendon,Bellinger,Blackmon,Bryant,Turner,Pham
2017,NL,Derrick Goold,St. Louis Post-Dispatch,STL,Stanton,Votto,Blackmon,Arenado,Goldschmidt,Rendon,Bryant,Scherzer,Pham,Turner
2017,NL,Rick Hummel,St. Louis Post-Dispatch,STL,Blackmon,Goldschmidt,Arenado,Votto,Stanton,Harper,Rendon,Jansen,Martinez,Rizzo
2017,NL,Todd Dybas,The Washington Times,WAS,Votto,Stanton,Rendon,Arenado,Bryant,Goldschmidt,Blackmon,Pham,Scherzer,Turner
2017,NL,Tim Kurkjian,ESPN,WAS,Stanton,Goldschmidt,Blackmon,Votto,Arenado,Harper,Rendon,Bryant,Bellinger,Rizzo
