Teams,Borda Points
clemson-tigers,1545
alabama-crimson-tide,1488
georgia-bulldogs,1386
lsu-tigers,1339
oklahoma-sooners,1310
ohio-state-buckeyes,1292
notre-dame-fighting-irish,1101
auburn-tigers,1082
florida-gators,970
utah-utes,942
michigan-wolverines,932
texas-longhorns,906
penn-state-nittany-lions,754
ucf-knights,738
oregon-ducks,708
texas-am-aggies,703
iowa-hawkeyes,586
washington-state-cougars,505
boise-state-broncos,331
virginia-cavaliers,309
washington-huskies,223
california-golden-bears,203
arizona-state-sun-devils,203
tcu-horned-frogs,124
kansas-state-wildcats,116
oklahoma-state-cowboys,73
army-west-point-black-knights,63
michigan-state-spartans,51
memphis-tigers,36
byu-cougars,19
wake-forest-demon-deacons,19
iowa-state-cyclones,11
temple-owls,10
mississippi-state-bulldogs,5
appalachian-state-mountaineers,3
minnesota-golden-gophers,2
