Teams,Borda Points
clemson-tigers,1543
alabama-crimson-tide,1485
georgia-bulldogs,1400
lsu-tigers,1344
ohio-state-buckeyes,1288
oklahoma-sooners,1283
auburn-tigers,1169
wisconsin-badgers,1071
florida-gators,1022
notre-dame-fighting-irish,989
texas-longhorns,968
penn-state-nittany-lions,849
oregon-ducks,839
iowa-hawkeyes,716
california-golden-bears,554
boise-state-broncos,533
washington-huskies,507
virginia-cavaliers,443
utah-utes,442
michigan-wolverines,297
ucf-knights,271
usc-trojans,270
texas-am-aggies,240
michigan-state-spartans,110
wake-forest-demon-deacons,86
southern-methodist-mustangs,72
oklahoma-state-cowboys,65
army-west-point-black-knights,52
memphis-tigers,47
iowa-state-cyclones,33
appalachian-state-mountaineers,29
washington-state-cougars,26
missouri-tigers,18
mississippi-state-bulldogs,17
colorado-buffaloes,7
pittsburgh-panthers,7
minnesota-golden-gophers,6
arizona-state-sun-devils,5
tulane-green-wave,2
