Teams,Borda Points
alabama-crimson-tide,1503
clemson-tigers,1433
georgia-bulldogs,1393
ohio-state-buckeyes,1393
lsu-tigers,1352
oklahoma-sooners,1268
florida-gators,1163
wisconsin-badgers,1105
notre-dame-fighting-irish,1046
penn-state-nittany-lions,958
texas-longhorns,947
auburn-tigers,920
oregon-ducks,828
boise-state-broncos,655
utah-utes,625
michigan-wolverines,620
iowa-hawkeyes,457
arizona-state-sun-devils,394
wake-forest-demon-deacons,386
virginia-cavaliers,360
southern-methodist-mustangs,296
baylor-bears,269
memphis-tigers,201
texas-am-aggies,167
minnesota-golden-gophers,85
appalachian-state-mountaineers,68
missouri-tigers,65
washington-huskies,57
tulane-green-wave,30
california-golden-bears,21
michigan-state-spartans,17
arizona-wildcats,12
ucf-knights,10
iowa-state-cyclones,5
usc-trojans,5
pittsburgh-panthers,3
