Teams,Borda Points
clemson-tigers,1545
alabama-crimson-tide,1488
georgia-bulldogs,1387
lsu-tigers,1340
oklahoma-sooners,1310
ohio-state-buckeyes,1292
notre-dame-fighting-irish,1112
auburn-tigers,1097
utah-utes,965
michigan-wolverines,952
texas-longhorns,928
penn-state-nittany-lions,782
wisconsin-badgers,777
ucf-knights,754
oregon-ducks,722
texas-am-aggies,719
iowa-hawkeyes,597
washington-state-cougars,511
boise-state-broncos,332
virginia-cavaliers,310
washington-huskies,225
california-golden-bears,205
arizona-state-sun-devils,203
tcu-horned-frogs,127
kansas-state-wildcats,116
oklahoma-state-cowboys,73
army-west-point-black-knights,63
michigan-state-spartans,51
memphis-tigers,36
byu-cougars,19
wake-forest-demon-deacons,19
iowa-state-cyclones,11
temple-owls,10
mississippi-state-bulldogs,5
appalachian-state-mountaineers,3
minnesota-golden-gophers,2
