Season,League,Official Borda,Borda-Top1,Ranks-Top1,Borda-Top3,Ranks-Top3,Borda-Top5,Ranks-Top5,Borda-Top10,Ranks-Top10,Dowdall,Ranks-Dowdall
2012,AL,Cabrera,Cabrera,1,Cabrera,1,Cabrera,1,Cabrera,1,Cabrera,1
2012,NL,Posey,Posey,1,Posey,1,Posey,1,Posey,1,Posey,1
2013,AL,Cabrera,Cabrera,1,Cabrera,1,Cabrera,1,Cabrera,1,Cabrera,1
2013,NL,McCutchen,McCutchen,1,McCutchen,1,McCutchen,1,McCutchen,1,McCutchen,1
2014,AL,Trout,Trout,1,Trout,1,Trout,1,Trout,1,Trout,1
2014,NL,Kershaw,Kershaw,1,Kershaw,1,Kershaw,1,Kershaw,1,Kershaw,1
2015,AL,Donaldson,Donaldson,1,Donaldson,1,Donaldson,1,Donaldson,1,Donaldson,1
2015,NL,Harper,Harper,1,Harper,1,Harper,1,Harper,1,Harper,1
2016,AL,Trout,Trout,1,Trout,1,Trout,1,Trout,1,Trout,1
2016,NL,Bryant,Bryant,1,Bryant,1,Bryant,1,Bryant,1,Bryant,1
2017,AL,Altuve,Altuve,1,Altuve,1,Altuve,1,Altuve,1,Altuve,1
2017,NL,Stanton,Stanton,1,Stanton,1,Stanton,1,Stanton,1,Stanton,1
2018,AL,Betts,Betts,1,Betts,1,Betts,1,Betts,1,Betts,1
2018,NL,Yelich,Yelich,1,Yelich,1,Yelich,1,Yelich,1,Yelich,1
2019,AL,Trout,Trout,1,Trout,1,Trout,1,Trout,1,Trout,1
2019,NL,Bellinger,Bellinger,1,Bellinger,1,Bellinger,1,Bellinger,1,Bellinger,1
2020,AL,Abreu,Abreu,1,Abreu,1,Abreu,1,Abreu,1,Abreu,1
2020,NL,Freeman,Freeman,1,Freeman,1,Freeman,1,Freeman,1,Freeman,1
2021,AL,Ohtani,Ohtani,1,Ohtani,1,Ohtani,1,Ohtani,1,Ohtani,1
2021,NL,Harper,Harper,1,Harper,1,Harper,1,Harper,1,Harper,1
2022,AL,Judge,Judge,1,Judge,1,Judge,1,Judge,1,Judge,1
2022,NL,Goldschmidt,Goldschmidt,1,Goldschmidt,1,Goldschmidt,1,Goldschmidt,1,Goldschmidt,1
2023,AL,Ohtani,Ohtani,1,Ohtani,1,Ohtani,1,Ohtani,1,Ohtani,1
2023,NL,AcunaJr,AcunaJr,1,AcunaJr,1,AcunaJr,1,AcunaJr,1,AcunaJr,1
