Year,League,Removed-Players,RP-Ranking,Original-Range,New-Ranking,New-Range,Original-Ranking
2017,NL,"('Goldschmidt',)","(3,)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
2017,NL,"('Blackmon',)","(5,)","('Stanton', 'Votto')","(2, 1)","('Votto', 'Stanton')","(2, 1)"
