Season,League,Official Borda,Borda-Top1,Ranks-Top1,Borda-Top3,Ranks-Top3,Borda-Top5,Ranks-Top5,Borda-Top10,Ranks-Top10,Dowdall,Ranks-Dowdall
2012,AL,"Cabrera, Trout, Beltre, Cano, Hamilton","Cabrera, Trout","1, 2","Cabrera, Trout, Beltre, Cano, Jeter","1, 2, 3, 4, 7","Cabrera, Trout, Beltre, Cano, Jones","1, 2, 3, 4, 6","Cabrera, Trout, Beltre, Cano, Hamilton","1, 2, 3, 4, 5","Cabrera, Trout, Beltre, Cano, Hamilton","1, 2, 3, 4, 5"
2012,NL,"Posey, Braun, McCutchen, Molina, Headley","Posey, Braun, Molina","1, 2, 4","Posey, Braun, Molina, McCutchen, Kimbrel","1, 2, 4, 3, 8","Posey, Braun, McCutchen, Molina, Headley","1, 2, 3, 4, 5","Posey, Braun, McCutchen, Molina, Headley","1, 2, 3, 4, 5","Posey, Braun, Molina, McCutchen, Headley","1, 2, 4, 3, 5"
2013,AL,"Cabrera, Trout, DavisC, Donaldson, Cano","Cabrera, Trout, Donaldson, DavisC","1, 2, 4, 3","Cabrera, Trout, DavisC, Donaldson, Cano","1, 2, 3, 4, 5","Cabrera, Trout, DavisC, Donaldson, Cano","1, 2, 3, 4, 5","Cabrera, Trout, DavisC, Donaldson, Cano","1, 2, 3, 4, 5","Cabrera, Trout, DavisC, Donaldson, Cano","1, 2, 3, 4, 5"
2013,NL,"McCutchen, Goldschmidt, Molina, Carpenter, Freeman","McCutchen, Molina","1, 3","McCutchen, Goldschmidt, Molina, Carpenter, Kershaw","1, 2, 3, 4, 7","McCutchen, Goldschmidt, Molina, Carpenter, Kershaw","1, 2, 3, 4, 7","McCutchen, Goldschmidt, Molina, Carpenter, Freeman","1, 2, 3, 4, 5","McCutchen, Goldschmidt, Molina, Carpenter, Kershaw","1, 2, 3, 4, 7"
2014,AL,"Trout, Martinez, Brantley, Abreu, Cano",Trout,1,"Trout, Martinez, Brantley, Abreu, Cruz","1, 2, 3, 4, 7","Trout, Martinez, Brantley, Abreu, Cruz","1, 2, 3, 4, 7","Trout, Martinez, Brantley, Abreu, Cano","1, 2, 3, 4, 5","Trout, Martinez, Brantley, Abreu, Cano","1, 2, 3, 4, 5"
2014,NL,"Kershaw, Stanton, McCutchen, Lucroy, Rendon","Kershaw, Stanton, McCutchen","1, 2, 3","Kershaw, Stanton, McCutchen, Lucroy, Rendon","1, 2, 3, 4, 5","Kershaw, Stanton, McCutchen, Lucroy, Posey","1, 2, 3, 4, 6","Kershaw, Stanton, McCutchen, Lucroy, Rendon","1, 2, 3, 4, 5","Kershaw, Stanton, McCutchen, Lucroy, Rendon","1, 2, 3, 4, 5"
2015,AL,"Donaldson, Trout, Cain, Machado, Keuchel","Donaldson, Trout","1, 2","Donaldson, Trout, Cain, Machado, Cruz","1, 2, 3, 4, 6","Donaldson, Trout, Cain, Machado, Keuchel","1, 2, 3, 4, 5","Donaldson, Trout, Cain, Machado, Keuchel","1, 2, 3, 4, 5","Donaldson, Trout, Cain, Machado, Cruz","1, 2, 3, 4, 6"
2015,NL,"Harper, Goldschmidt, Votto, Rizzo, McCutchen",Harper,1,"Harper, Goldschmidt, Arrieta, Rizzo, Greinke","1, 2, 6, 4, 7","Harper, Goldschmidt, Votto, Rizzo, Arrieta","1, 2, 3, 4, 6","Harper, Goldschmidt, Votto, Rizzo, McCutchen","1, 2, 3, 4, 5","Harper, Goldschmidt, Votto, Rizzo, Arrieta","1, 2, 3, 4, 6"
2016,AL,"Trout, Betts, Altuve, Donaldson, Machado","Trout, Betts, Beltre, Ortiz","1, 2, 7, 6","Trout, Betts, Altuve, Donaldson, Ortiz","1, 2, 3, 4, 6","Trout, Betts, Altuve, Donaldson, Beltre","1, 2, 3, 4, 7","Trout, Betts, Altuve, Donaldson, Machado","1, 2, 3, 4, 5","Trout, Betts, Altuve, Donaldson, Ortiz","1, 2, 3, 4, 6"
2016,NL,"Bryant, Murphy, Seager, Rizzo, Arenado","Bryant, Murphy","1, 2","Bryant, Murphy, Seager, Arenado, Rizzo","1, 2, 3, 5, 4","Bryant, Murphy, Seager, Rizzo, Arenado","1, 2, 3, 4, 5","Bryant, Murphy, Seager, Rizzo, Arenado","1, 2, 3, 4, 5","Bryant, Murphy, Seager, Arenado, Rizzo","1, 2, 3, 5, 4"
