Name,Affiliation,Chapt.,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
Paul Newberry,The Associated Press,ATL,Harper,Rizzo,Greinke,Arrieta,Bryant,Goldschmidt,Arenado,Kershaw,Posey,Pollock
Charles Odum,The Associated Press,ATL,Harper,Goldschmidt,Rizzo,Arenado,Votto,Cespedes,Arrieta,Greinke,Gordon,Posey
Nick Piecoro,The Arizona Republic,AZ,Harper,Goldschmidt,Arrieta,Kershaw,Greinke,Votto,Pollock,Posey,McCutchen,Rizzo
Robert Nightengale,USA TODAY,AZ,Harper,Rizzo,McCutchen,Arenado,Goldschmidt,Votto,Cespedes,Posey,Gordon,Pollock
Gordon Wittenmyer,Chicago Sun Times,CHI,Harper,McCutchen,Goldschmidt,Rizzo,Posey,Votto,Heyward,Bryant,Greinke,Arenado
Bruce Miles,Daily Herald,CHI,Harper,Arrieta,McCutchen,Rizzo,Goldschmidt,Votto,Greinke,Heyward,Posey,Kershaw
John Fay,Cincinnati Enquirer,CIN,Harper,Goldschmidt,Greinke,Arrieta,Votto,Cespedes,McCutchen,Rizzo,Carpenter,Posey
Joe Kay,Associated Press,CIN,Harper,Goldschmidt,Votto,Posey,Rizzo,Arrieta,Carpenter,Cole,Greinke,Arenado
Jack Etkin,Honorary,COL,Harper,Greinke,Arenado,Goldschmidt,Votto,Rizzo,McCutchen,Posey,Arrieta,Pollock
Patrick Saunders,The Denver Post,COL,Harper,Arrieta,Arenado,Greinke,Kershaw,Goldschmidt,Cespedes,McCutcheon,Posey,Votto
J.P. Hoornstra,Los Angeles News Group,LA,Harper,Goldschmidt,Greinke,Votto,Rizzo,Arenado,Pollock,Posey,Bryant,McCutchen
Mark Saxon,ESPN.com,LA,Harper,Greinke,Arrieta,Kershaw,Votto,Goldschmidt,Bryant,Rizzo,McCutchen,Posey
Clark Spencer,Miami Herald,MIA,Harper,Goldschmidt,Rizzo,Votto,Arenado,McCutchen,Arrieta,Greinke,Carpenter,Posey
Craig Davis,South Florida Sun Sentinel,MIA,Harper,Arrieta,Bryant,Greinke,Votto,McCutchen,Goldschmidt,Kershaw,Rizzo,Posey
Tom Haudricourt,Milwaukee Journal Sentinel,MIL,Harper,Rizzo,Goldschmidt,Votto,McCutchen,Arenado,Arrieta,Greinke,Carpenter,Posey
Todd Rosiak,Milwaukee Journal Sentinel,MIL,Harper,Arrieta,Greinke,Arenado,Votto,Rizzo,Goldschmidt,Kershaw,McCutchen,Carpenter
Mike Puma,New York Post,NY,Harper,Goldschmidt,McCutchen,Rizzo,Votto,Posey,Granderson,Bryant,Gonzalez,Carpenter
Marc Carig,New York Newsday,NY,Harper,Arrieta,Greinke,Votto,Goldschmidt,Kershaw,Rizzo,McCutchen,Posey,Arenado
Jayson Stark,ESPN.com,PHI,Harper,Goldschmidt,Votto,Rizzo,McCutchen,Arenado,Greinke,Arrieta,Carpenter,Cespedes
Jim Salisbury,CSNPhilly.com,PHI,Harper,Goldschmidt,Arenado,Rizzo,Votto,McCutchen,Greinke,Arrieta,Carpenter,Pollock
Bill Brink,Pittsburgh Post-Gazette,PIT,Harper,Votto,Goldschmidt,McCutchen,Rizzo,Posey,Greinke,Arrieta,Kershaw,Pollock
Rob Biertempfel,Pittsburgh Tribune-Review,PIT,Harper,Goldschmidt,Votto,McCutchen,Rizzo,Posey,Bryant,Pollock,Arrieta,Heyward
Scott Miller,BleacherReport.com,SD,Harper,Goldschmidt,McCutchen,Votto,Heyward,Arrieta,Greinke,Rizzo,Arenado,Pollock
Dennis Lin,San Diego Union-Tribune,SD,Harper,Goldschmidt,Arenado,Votto,McCutchen,Posey,Bryant,Arrieta,Kershaw,Pollock
Alex Pavlovic,Comcast SportsNet Bay Area,SF,Harper,Goldschmidt,Votto,Rizzo,Posey,McCutchen,Kershaw,Arrieta,Greinke,Pollock
Henry Schulman,San Francisco Chronicle,SF,Harper,Goldschmidt,Votto,Rizzo,Arenado,Posey,Cespedes,McCutchen,Carpenter,Gonzalez
Derrick Goold,St. Louis Post Dispatch,STL,Harper,Goldschmidt,Rizzo,Greinke,Votto,Posey,McCutchen,Arrieta,Carpenter,Arenado
Rick Hummel,St. Louis Post Dispatch,STL,Harper,Goldschmidt,Rizzo,Arenado,McCutchen,Rosenthal,Carpenter,Arrieta,Gordon,Votto
Tim B. Kurkjian,ESPN.com,WAS,Harper,Goldschmidt,Arrieta,Greinke,Kershaw,McCutchen,Rizzo,Posey,Pollock,Heyward
Mark Zuckerman,CSNmidatlantic.com,WAS,Harper,Goldschmidt,Votto,McCutchen,Posey,Arenado,Arrieta,Greinke,Carpenter,Cespedes
