Season,Week,Official Borda,Alternate Borda Method Teams,Alternate Borda Method Rankings
2017,16,"alabama-crimson-tide, georgia-bulldogs, oklahoma-sooners","alabama-crimson-tide, ucf-knights, georgia-bulldogs","1, 6, 2"
2018,1,"alabama-crimson-tide, clemson-tigers, georgia-bulldogs","alabama-crimson-tide, clemson-tigers, wisconsin-badgers","1, 2, 4"
2018,2,"alabama-crimson-tide, clemson-tigers, georgia-bulldogs","alabama-crimson-tide, clemson-tigers, wisconsin-badgers","1, 2, 5"
2018,3,"alabama-crimson-tide, clemson-tigers, georgia-bulldogs","alabama-crimson-tide, clemson-tigers, wisconsin-badgers","1, 2, 6"
2018,4,"alabama-crimson-tide, georgia-bulldogs, clemson-tigers","alabama-crimson-tide, clemson-tigers, georgia-bulldogs","1, 3, 2"
2018,5,"alabama-crimson-tide, georgia-bulldogs, clemson-tigers","alabama-crimson-tide, clemson-tigers, georgia-bulldogs","1, 3, 2"
2018,6,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 3, 4"
2018,7,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 3, 4"
2018,16,"clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","1, 2, 5"
2019,3,"clemson-tigers, alabama-crimson-tide, georgia-bulldogs","clemson-tigers, alabama-crimson-tide, lsu-tigers","1, 2, 4"
2019,4,"clemson-tigers, alabama-crimson-tide, georgia-bulldogs","clemson-tigers, alabama-crimson-tide, lsu-tigers","1, 2, 4"
2019,6,"alabama-crimson-tide, clemson-tigers, georgia-bulldogs","alabama-crimson-tide, clemson-tigers, ohio-state-buckeyes","1, 2, 4"
2019,7,"alabama-crimson-tide, clemson-tigers, ohio-state-buckeyes","alabama-crimson-tide, clemson-tigers, georgia-bulldogs","1, 2, 4"
2019,10,"lsu-tigers, alabama-crimson-tide, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, lsu-tigers","2, 3, 1"
2019,10,"lsu-tigers, alabama-crimson-tide, ohio-state-buckeyes","alabama-crimson-tide, lsu-tigers, ohio-state-buckeyes","2, 1, 3"
2019,11,"lsu-tigers, alabama-crimson-tide, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, lsu-tigers","2, 3, 1"
2019,11,"lsu-tigers, alabama-crimson-tide, ohio-state-buckeyes","alabama-crimson-tide, lsu-tigers, ohio-state-buckeyes","2, 1, 3"
2020,2,"clemson-tigers, alabama-crimson-tide, oklahoma-sooners","clemson-tigers, lsu-tigers, georgia-bulldogs","1, 6, 4"
2020,3,"clemson-tigers, alabama-crimson-tide, oklahoma-sooners","clemson-tigers, lsu-tigers, alabama-crimson-tide","1, 6, 2"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide","1, 6, 2"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,4,"clemson-tigers, alabama-crimson-tide, florida-gators","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,5,"clemson-tigers, alabama-crimson-tide, georgia-bulldogs","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,5,"clemson-tigers, alabama-crimson-tide, georgia-bulldogs","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 6"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,7,"clemson-tigers, alabama-crimson-tide, notre-dame-fighting-irish","clemson-tigers, alabama-crimson-tide, ohio-state-buckeyes","1, 2, 5"
2020,11,"alabama-crimson-tide, notre-dame-fighting-irish, ohio-state-buckeyes","alabama-crimson-tide, ohio-state-buckeyes, notre-dame-fighting-irish","1, 3, 2"
2020,17,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, texas-am-aggies","1, 2, 4"
2021,1,"alabama-crimson-tide, oklahoma-sooners, clemson-tigers","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 3, 2"
2021,4,"alabama-crimson-tide, georgia-bulldogs, oregon-ducks","alabama-crimson-tide, georgia-bulldogs, oklahoma-sooners","1, 2, 4"
2021,5,"alabama-crimson-tide, georgia-bulldogs, oregon-ducks","alabama-crimson-tide, georgia-bulldogs, oklahoma-sooners","1, 2, 6"
2021,6,"alabama-crimson-tide, georgia-bulldogs, iowa-hawkeyes","alabama-crimson-tide, georgia-bulldogs, oklahoma-sooners","1, 2, 6"
2021,7,"georgia-bulldogs, iowa-hawkeyes, cincinnati-bearcats","georgia-bulldogs, alabama-crimson-tide, iowa-hawkeyes","1, 5, 2"
2021,8,"georgia-bulldogs, cincinnati-bearcats, oklahoma-sooners","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 4, 2"
2021,9,"georgia-bulldogs, cincinnati-bearcats, alabama-crimson-tide","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 3, 2"
2021,10,"georgia-bulldogs, cincinnati-bearcats, alabama-crimson-tide","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 3, 2"
2021,11,"georgia-bulldogs, cincinnati-bearcats, alabama-crimson-tide","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 3, 2"
2021,13,"georgia-bulldogs, ohio-state-buckeyes, alabama-crimson-tide","georgia-bulldogs, alabama-crimson-tide, cincinnati-bearcats","1, 3, 4"
2021,14,"georgia-bulldogs, michigan-wolverines, cincinnati-bearcats","georgia-bulldogs, alabama-crimson-tide, michigan-wolverines","1, 4, 2"
2021,15,"alabama-crimson-tide, michigan-wolverines, georgia-bulldogs","alabama-crimson-tide, michigan-wolverines, cincinnati-bearcats","1, 2, 4"
2021,15,"alabama-crimson-tide, michigan-wolverines, georgia-bulldogs","alabama-crimson-tide, michigan-wolverines, cincinnati-bearcats","1, 2, 4"
2022,5,"georgia-bulldogs, alabama-crimson-tide, ohio-state-buckeyes","georgia-bulldogs, ohio-state-buckeyes, alabama-crimson-tide","1, 3, 2"
2022,6,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","georgia-bulldogs, alabama-crimson-tide, ohio-state-buckeyes","2, 1, 3"
2022,6,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","georgia-bulldogs, alabama-crimson-tide, ohio-state-buckeyes","2, 1, 3"
2022,10,"georgia-bulldogs, ohio-state-buckeyes, tennessee-volunteers","georgia-bulldogs, tennessee-volunteers, ohio-state-buckeyes","1, 3, 2"
2022,10,"georgia-bulldogs, ohio-state-buckeyes, tennessee-volunteers","georgia-bulldogs, tennessee-volunteers, ohio-state-buckeyes","1, 3, 2"
2022,16,"georgia-bulldogs, tcu-horned-frogs, michigan-wolverines","georgia-bulldogs, tcu-horned-frogs, ohio-state-buckeyes","1, 2, 4"
2023,2,"georgia-bulldogs, michigan-wolverines, alabama-crimson-tide","georgia-bulldogs, florida-state-seminoles, michigan-wolverines","1, 4, 2"
2023,3,"georgia-bulldogs, michigan-wolverines, florida-state-seminoles","georgia-bulldogs, florida-state-seminoles, texas-longhorns","1, 3, 4"
2023,4,"georgia-bulldogs, michigan-wolverines, texas-longhorns","georgia-bulldogs, texas-longhorns, michigan-wolverines","1, 3, 2"
2023,4,"georgia-bulldogs, michigan-wolverines, texas-longhorns","georgia-bulldogs, michigan-wolverines, florida-state-seminoles","1, 2, 4"
2023,4,"georgia-bulldogs, michigan-wolverines, texas-longhorns","georgia-bulldogs, michigan-wolverines, florida-state-seminoles","1, 2, 4"
2023,5,"georgia-bulldogs, michigan-wolverines, texas-longhorns","georgia-bulldogs, florida-state-seminoles, texas-longhorns","1, 5, 3"
2023,8,"georgia-bulldogs, michigan-wolverines, ohio-state-buckeyes","georgia-bulldogs, michigan-wolverines, washington-huskies","1, 2, 5"
2023,13,"georgia-bulldogs, ohio-state-buckeyes, michigan-wolverines","georgia-bulldogs, ohio-state-buckeyes, washington-huskies","1, 2, 4"
2023,15,"michigan-wolverines, washington-huskies, texas-longhorns","michigan-wolverines, washington-huskies, florida-state-seminoles","1, 2, 4"
2023,15,"michigan-wolverines, washington-huskies, texas-longhorns","michigan-wolverines, washington-huskies, florida-state-seminoles","1, 2, 4"
2023,16,"michigan-wolverines, washington-huskies, texas-longhorns","michigan-wolverines, washington-huskies, georgia-bulldogs","1, 2, 4"
2024,2,"georgia-bulldogs, ohio-state-buckeyes, texas-longhorns","georgia-bulldogs, ohio-state-buckeyes, alabama-crimson-tide","1, 2, 4"
2024,3,"georgia-bulldogs, texas-longhorns, ohio-state-buckeyes","georgia-bulldogs, ohio-state-buckeyes, texas-longhorns","1, 3, 2"
