Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,georgia-bulldogs,notre-dame-fighting-irish,oklahoma-state-cowboys,cincinnati-bearcats,texas-am-aggies,north-carolina-tar-heels,miami-fl-hurricanes,oregon-ducks,florida-gators,wisconsin-badgers,michigan-wolverines,byu-cougars,penn-state-nittany-lions,kansas-state-wildcats,indiana-hoosiers,memphis-tigers,marshall-thundering-herd,coastal-carolina-chanticleers,boise-state-broncos,liberty-flames,louisiana-lafayette-ragin-cajuns,iowa-state-cyclones
adam-grosbard,2020,8,clemson-tigers,alabama-crimson-tide,notre-dame-fighting-irish,georgia-bulldogs,ohio-state-buckeyes,oklahoma-state-cowboys,cincinnati-bearcats,texas-am-aggies,florida-gators,miami-fl-hurricanes,wisconsin-badgers,byu-cougars,oregon-ducks,north-carolina-tar-heels,michigan-wolverines,marshall-thundering-herd,kansas-state-wildcats,coastal-carolina-chanticleers,memphis-tigers,arkansas-razorbacks,indiana-hoosiers,boise-state-broncos,penn-state-nittany-lions,iowa-state-cyclones,southern-methodist-mustangs
adam-zucker,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,georgia-bulldogs,oklahoma-state-cowboys,byu-cougars,texas-am-aggies,cincinnati-bearcats,michigan-wolverines,miami-fl-hurricanes,florida-gators,wisconsin-badgers,north-carolina-tar-heels,oregon-ducks,tulsa-golden-hurricane,boise-state-broncos,kansas-state-wildcats,indiana-hoosiers,penn-state-nittany-lions,iowa-state-cyclones,usc-trojans,coastal-carolina-chanticleers,marshall-thundering-herd,army-west-point-black-knights
andy-greder,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,georgia-bulldogs,oklahoma-state-cowboys,notre-dame-fighting-irish,cincinnati-bearcats,michigan-wolverines,wisconsin-badgers,oregon-ducks,miami-fl-hurricanes,texas-am-aggies,north-carolina-tar-heels,florida-gators,byu-cougars,indiana-hoosiers,kansas-state-wildcats,penn-state-nittany-lions,iowa-state-cyclones,usc-trojans,washington-huskies,marshall-thundering-herd,southern-methodist-mustangs,minnesota-golden-gophers,oklahoma-sooners
audrey-dahlgren,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,georgia-bulldogs,oklahoma-state-cowboys,texas-am-aggies,cincinnati-bearcats,byu-cougars,wisconsin-badgers,north-carolina-tar-heels,miami-fl-hurricanes,michigan-wolverines,florida-gators,oregon-ducks,penn-state-nittany-lions,kansas-state-wildcats,iowa-state-cyclones,indiana-hoosiers,southern-methodist-mustangs,marshall-thundering-herd,coastal-carolina-chanticleers,memphis-tigers,usc-trojans,minnesota-golden-gophers
blair-kerkhoff,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,oklahoma-state-cowboys,georgia-bulldogs,oregon-ducks,cincinnati-bearcats,texas-am-aggies,florida-gators,miami-fl-hurricanes,north-carolina-tar-heels,wisconsin-badgers,michigan-wolverines,byu-cougars,kansas-state-wildcats,indiana-hoosiers,penn-state-nittany-lions,auburn-tigers,iowa-state-cyclones,oklahoma-sooners,tulsa-golden-hurricane,boise-state-broncos,marshall-thundering-herd,coastal-carolina-chanticleers
bob-asmussen,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,georgia-bulldogs,oregon-ducks,oklahoma-state-cowboys,cincinnati-bearcats,texas-am-aggies,michigan-wolverines,wisconsin-badgers,miami-fl-hurricanes,byu-cougars,florida-gators,north-carolina-tar-heels,indiana-hoosiers,penn-state-nittany-lions,kansas-state-wildcats,minnesota-golden-gophers,usc-trojans,marshall-thundering-herd,oklahoma-sooners,coastal-carolina-chanticleers,southern-methodist-mustangs,memphis-tigers
brett-mcmurphy,2020,8,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,notre-dame-fighting-irish,georgia-bulldogs,oklahoma-state-cowboys,cincinnati-bearcats,texas-am-aggies,wisconsin-badgers,indiana-hoosiers,florida-gators,kansas-state-wildcats,michigan-wolverines,byu-cougars,marshall-thundering-herd,north-carolina-tar-heels,miami-fl-hurricanes,tulsa-golden-hurricane,coastal-carolina-chanticleers,liberty-flames,arkansas-razorbacks,memphis-tigers,louisiana-lafayette-ragin-cajuns,iowa-state-cyclones,boise-state-broncos
brian-howell,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,oklahoma-state-cowboys,georgia-bulldogs,byu-cougars,cincinnati-bearcats,texas-am-aggies,michigan-wolverines,wisconsin-badgers,miami-fl-hurricanes,florida-gators,north-carolina-tar-heels,kansas-state-wildcats,marshall-thundering-herd,southern-methodist-mustangs,oklahoma-sooners,boise-state-broncos,auburn-tigers,coastal-carolina-chanticleers,army-west-point-black-knights,louisiana-lafayette-ragin-cajuns,liberty-flames,indiana-hoosiers
brooks-kubena,2020,8,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,oklahoma-state-cowboys,cincinnati-bearcats,notre-dame-fighting-irish,byu-cougars,texas-am-aggies,georgia-bulldogs,michigan-wolverines,wisconsin-badgers,north-carolina-tar-heels,florida-gators,kansas-state-wildcats,miami-fl-hurricanes,oklahoma-sooners,indiana-hoosiers,marshall-thundering-herd,iowa-state-cyclones,liberty-flames,northwestern-wildcats,penn-state-nittany-lions,coastal-carolina-chanticleers,boise-state-broncos,southern-methodist-mustangs
bryce-miller,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,wisconsin-badgers,georgia-bulldogs,oklahoma-state-cowboys,cincinnati-bearcats,oregon-ducks,texas-am-aggies,florida-gators,byu-cougars,north-carolina-tar-heels,michigan-wolverines,miami-fl-hurricanes,kansas-state-wildcats,usc-trojans,northwestern-wildcats,iowa-state-cyclones,oklahoma-sooners,marshall-thundering-herd,coastal-carolina-chanticleers,tulsa-golden-hurricane,boise-state-broncos,san-diego-state-aztecs
chris-murray,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,georgia-bulldogs,cincinnati-bearcats,oklahoma-state-cowboys,oregon-ducks,miami-fl-hurricanes,texas-am-aggies,michigan-wolverines,wisconsin-badgers,byu-cougars,florida-gators,north-carolina-tar-heels,kansas-state-wildcats,marshall-thundering-herd,coastal-carolina-chanticleers,indiana-hoosiers,penn-state-nittany-lions,boise-state-broncos,southern-methodist-mustangs,usc-trojans,liberty-flames,tulsa-golden-hurricane
chuck-carlton,2020,8,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,oklahoma-state-cowboys,georgia-bulldogs,texas-am-aggies,oregon-ducks,cincinnati-bearcats,florida-gators,wisconsin-badgers,byu-cougars,michigan-wolverines,north-carolina-tar-heels,miami-fl-hurricanes,kansas-state-wildcats,usc-trojans,marshall-thundering-herd,indiana-hoosiers,penn-state-nittany-lions,boise-state-broncos,coastal-carolina-chanticleers,iowa-state-cyclones,oklahoma-sooners,southern-methodist-mustangs
