Player,Borda Points
Stanton,302
Votto,300
Goldschmidt,239
Arenado,229
Blackmon,205
Rendon,141
Bryant,132
Turner,43
Bellinger,38
Scherzer,34
Pham,24
Harper,21
Rizzo,17
Martinez,11
Ozuna,8
Jansen,8
Seager,6
Kershaw,6
Murphy,3
Zimmerman,1
Greinke,1
Bradley,1
