Teams,Borda Points
alabama-crimson-tide,60
ohio-state-buckeyes,1
usc-trojans,0
clemson-tigers,0
oklahoma-sooners,0
penn-state-nittany-lions,0
florida-state-seminoles,0
auburn-tigers,0
wisconsin-badgers,0
oklahoma-state-cowboys,0
washington-huskies,0
lsu-tigers,0
michigan-wolverines,0
notre-dame-fighting-irish,0
stanford-cardinal,0
georgia-bulldogs,0
miami-fl-hurricanes,0
louisville-cardinals,0
virginia-tech-hokies,0
kansas-state-wildcats,0
houston-cougars,0
washington-state-cougars,0
south-florida-bulls,0
florida-gators,0
tcu-horned-frogs,0
utah-utes,0
tennessee-volunteers,0
west-virginia-mountaineers,0
ucla-bruins,0
boise-state-broncos,0
oregon-ducks,0
northwestern-wildcats,0
colorado-buffaloes,0
maryland-terrapins,0
south-carolina-gamecocks,0
san-diego-state-aztecs,0
kentucky-wildcats,0
texas-tech-red-raiders,0
california-golden-bears,0
iowa-hawkeyes,0
vanderbilt-commodores,0
mississippi-state-bulldogs,0
pittsburgh-panthers,0
michigan-state-spartans,0
navy-midshipmen,0
nebraska-cornhuskers,0
