Player,Borda Points
Cabrera,25.0
Trout,16.833333333333332
Beltre,8.426190476190474
Cano,5.656349206349206
Hamilton,4.609523809523809
Jones,4.235317460317461
Jeter,2.973015873015873
Fielder,2.481746031746032
Verlander,2.096825396825397
Cespedes,1.8162698412698415
Encarnacion,1.6250000000000002
Rodney,1.090079365079365
Price,0.9583333333333333
Rios,0.8555555555555556
Johnson,0.8511904761904762
Reddick,0.6444444444444444
Mauer,0.42500000000000004
Pujols,0.37777777777777777
Zobrist,0.35396825396825393
Soriano,0.2361111111111111
Wieters,0.14285714285714285
Hernandez,0.1111111111111111
Weaver,0.1111111111111111
Ibanez,0.1
