Player,Borda Points
Altuve,28.5
Judge,15.833333333333332
Ramirez,10.000000000000002
Trout,7.422222222222222
Lindor,4.985317460317462
Betts,3.970634920634921
Kluber,3.711507936507936
Simmons,2.592460317460318
Sale,2.1226190476190476
Cruz,1.9646825396825396
Dozier,0.9845238095238096
Hosmer,0.9039682539682539
Schoop,0.8833333333333332
Springer,0.7468253968253968
Abreu,0.7456349206349205
Correa,0.553968253968254
Upton,0.503968253968254
Gonzalez,0.4222222222222222
Buxton,0.35396825396825393
Gregorius,0.225
Encarnacion,0.14285714285714285
Sanchez,0.1
DavisC,0.1
Donaldson,0.1
