Player,Borda Points
Donaldson,26.5
Trout,18.333333333333336
Cain,8.976190476190476
Machado,5.951190476190478
Cruz,3.9047619047619055
Keuchel,3.701190476190477
Beltre,3.2638888888888893
Bautista,3.217460317460317
Price,2.3873015873015873
Cabrera,1.6690476190476191
Altuve,1.6178571428571429
DavisC,1.3865079365079365
Encarnacion,1.3607142857142855
Fielder,1.2777777777777781
Martinez,0.9428571428571428
Kipnis,0.6749999999999999
Kiermaier,0.4888888888888888
Morales,0.25
Betts,0.225
Hosmer,0.2
Martin,0.2
Sale,0.14285714285714285
Kinsler,0.125
Abreu,0.125
Moustakas,0.125
McCann,0.1111111111111111
Correa,0.1111111111111111
Ortiz,0.1
Brantley,0.1
DavisW,0.1
Dozier,0.1
Rodriguez,0.1
Teixeira,0.1
