Player,Borda Points
Bryant,29.5
Murphy,11.676190476190477
Seager,10.983333333333333
Arenado,7.800000000000001
Rizzo,7.7857142857142865
Freeman,4.829365079365079
Votto,3.861507936507936
Cespedes,1.8440476190476192
Turner,1.7761904761904765
Scherzer,1.596825396825397
Goldschmidt,1.1833333333333333
Segura,1.0472222222222223
Crawford,0.6456349206349206
LeMahieu,0.5333333333333333
Posey,0.42063492063492064
Yelich,0.3222222222222222
Bumgarner,0.30000000000000004
Ramos,0.25
Familia,0.25
Syndergaard,0.24285714285714285
Braun,0.2
Molina,0.2
Russell,0.16666666666666666
Grandal,0.14285714285714285
Hendriks,0.1111111111111111
Blackmon,0.1
Cueto,0.1
