Player,Borda Points
Harper,22.616666666666667
Soto,15.042857142857144
Tatis,11.283333333333333
Crawford,9.889682539682541
Turner,7.777380952380953
Goldschmidt,4.638888888888889
Riley,4.104365079365079
ONeill,2.3662698412698413
Muncy,1.9869047619047622
Freeman,1.7551587301587304
Reynolds,1.6452380952380952
Castellanos,1.1722222222222223
Adames,0.5361111111111111
Burnes,0.5
Albies,0.4666666666666667
Votto,0.45396825396825397
Scherzer,0.4361111111111111
Machado,0.4361111111111111
Wheeler,0.33611111111111114
Wainwright,0.125
Gausman,0.1
WadeJr,0.1
Posey,0.1
