Player,Borda Points
Kershaw,23.333333333333332
Stanton,17.000000000000004
McCutchen,14.166666666666666
Lucroy,6.075000000000001
Rendon,5.471825396825397
Posey,5.398015873015874
Harrison,2.2670634920634924
Gonzalez,2.191666666666667
Wainwright,2.013095238095238
Rizzo,1.7214285714285715
Pence,1.3833333333333335
Cueto,1.0472222222222223
Martin,0.9718253968253967
Peralta,0.8261904761904761
Gomez,0.6833333333333333
Upton,0.6539682539682541
Holliday,0.6166666666666667
Werth,0.553968253968254
Puig,0.3611111111111111
Span,0.35
Mesoraco,0.2361111111111111
Duda,0.125
Freeman,0.1111111111111111
Morneau,0.1111111111111111
Tulowitzki,0.1
Gordon,0.1
