Player,Borda Points
Betts,29.0
Trout,14.316666666666666
Martinez,8.232142857142858
Ramirez,7.992857142857143
Bregman,7.061904761904763
Lindor,6.013095238095239
Chapman,5.042063492063494
DavisC,1.9123015873015874
Snell,1.7845238095238096
Verlander,1.3000000000000003
Haniger,0.9833333333333334
Altuve,0.5444444444444444
Treinen,0.525
Simmons,0.5222222222222221
Judge,0.4857142857142857
Bogaerts,0.46111111111111114
Merrifield,0.4222222222222222
Diaz,0.3222222222222222
Stanton,0.225
Lowrie,0.2111111111111111
Gregorius,0.2111111111111111
Bauer,0.1
Sale,0.1
Hicks,0.1
