Player,Borda Points
Trout,23.5
Bregman,21.5
Semien,9.166666666666666
LeMahieu,6.677380952380952
Bogaerts,5.269047619047621
Chapman,3.559126984126984
Springer,2.875793650793651
Betts,2.7853174603174606
Cruz,2.3007936507936506
Cole,2.2373015873015873
Verlander,2.2234126984126985
Devers,1.6027777777777779
Polanco,0.8984126984126983
Meadows,0.8361111111111111
Lindor,0.553968253968254
Santana,0.46785714285714286
Torres,0.3111111111111111
Rosario,0.25
Abreu,0.24285714285714285
Kepler,0.1111111111111111
Moncada,0.1
Soler,0.1
Martinez,0.1
Olson,0.1
Morton,0.1
