Player,Borda Points
Posey,29.333333333333332
Braun,14.833333333333334
Molina,11.14166666666667
McCutchen,10.426190476190476
Headley,4.586507936507937
Wright,3.328968253968255
LaRoche,3.05515873015873
Kimbrel,2.9023809523809523
Ramirez,1.9103174603174602
Bruce,1.6107142857142858
Holliday,1.4857142857142858
Votto,0.9206349206349207
Chapman,0.8567460317460318
Dickey,0.7388888888888888
Desmond,0.7150793650793651
Phillips,0.7011904761904761
Kershaw,0.6396825396825396
Craig,0.48571428571428565
Bourn,0.45
Soriano,0.37777777777777777
Prado,0.3611111111111111
Hill,0.34285714285714286
Gonzalez,0.3111111111111111
Heyward,0.3111111111111111
Zimmerman,0.30000000000000004
Medlen,0.2857142857142857
Stanton,0.26785714285714285
Ruiz,0.225
Beltran,0.2
Harper,0.1111111111111111
Cueto,0.1111111111111111
Pence,0.1
Montero,0.1
Pagan,0.1
Jones,0.1
