Player,Borda Points
Freeman,29.0
Betts,14.533333333333331
Machado,8.959523809523809
Tatis,7.742857142857144
Soto,6.61904761904762
Ozuna,5.7357142857142875
Turner,3.5904761904761906
Yastrzemski,3.276190476190476
Seager,1.9051587301587305
Bauer,1.500793650793651
AcunaJr,1.3055555555555556
Story,0.9968253968253967
Smith,0.8944444444444446
Darvish,0.7079365079365079
Goldschmidt,0.37896825396825395
Belt,0.1111111111111111
Myers,0.1111111111111111
Fried,0.1
Swanson,0.1
Williams,0.1
Happ,0.1
Tepera,0.1
