Player,Borda Points
AcunaJr,30
Betts,15.0
Freeman,8.916666666666666
Olson,8.583333333333332
Carroll,5.5535714285714315
Soto,3.9297619047619046
Arraez,2.9023809523809527
Riley,2.829761904761905
Bellinger,2.1880952380952383
Lindor,2.096031746031746
Contreras,1.6035714285714284
Harper,1.5119047619047619
Snell,0.5928571428571429
Kim,0.5
Albies,0.2222222222222222
Swanson,0.2
Schwarber,0.2
Tatis,0.16666666666666666
Webb,0.125
Alonso,0.125
Ozuna,0.1111111111111111
Williams,0.1111111111111111
Walker,0.1
Castellanos,0.1
Friedl,0.1
Gallen,0.1
