Player,Borda Points
Ohtani,30
Seager,14.000000000000002
Semien,8.945238095238096
Rodriguez,7.295238095238096
Tucker,6.502380952380955
Diaz,5.13531746031746
Witt,3.478571428571429
Henderson,3.0019841269841274
Rutschman,2.2214285714285715
Ramirez,1.826984126984127
Cole,1.282936507936508
RobertJr,1.0611111111111111
Alvarez,0.7583333333333333
Garcia,0.5456349206349206
Crawford,0.41111111111111115
Judge,0.3472222222222222
Bichette,0.3222222222222222
Gray,0.2
Devers,0.1111111111111111
Raleigh,0.1111111111111111
Paredes,0.1111111111111111
Naylor,0.1
Bregman,0.1
