Player,Borda Points
Stanton,17.783333333333335
Votto,17.483333333333334
Goldschmidt,11.541666666666668
Arenado,10.026190476190477
Blackmon,9.65873015873016
Bryant,5.3349206349206355
Rendon,4.95
Turner,2.2091269841269843
Bellinger,1.653571428571429
Scherzer,1.5162698412698414
Pham,1.3511904761904763
Harper,0.9083333333333332
Rizzo,0.8650793650793651
Martinez,0.6583333333333334
Ozuna,0.6222222222222222
Jansen,0.29166666666666663
Kershaw,0.25396825396825395
Seager,0.25
Murphy,0.2111111111111111
Zimmerman,0.1
Greinke,0.1
Bradley,0.1
