Player,Borda Points
McCutchen,28.833333333333332
Goldschmidt,11.683333333333335
Molina,10.498412698412698
Carpenter,8.14563492063492
Kershaw,5.658730158730159
Votto,5.44920634920635
Freeman,5.362301587301588
Ramirez,2.4440476190476192
Gomez,1.900793650793651
Bruce,1.3174603174603172
Werth,1.215079365079365
Choo,1.178968253968254
Kimbrel,1.125
Simmons,0.6944444444444444
Pence,0.4361111111111111
Puig,0.39285714285714285
Tulowitzki,0.3222222222222222
Cuddyer,0.30000000000000004
Craig,0.225
Gonzalez,0.225
Wainwright,0.125
Posey,0.125
Holliday,0.1111111111111111
Martin,0.1
