Player,Borda Points
Cabrera,26.5
Trout,16.09285714285714
DavisC,10.009523809523811
Donaldson,9.016666666666666
Cano,5.421031746031747
Longoria,4.012698412698413
Beltre,3.7527777777777778
Pedroia,3.6198412698412694
Machado,2.732936507936508
Ortiz,1.8662698412698415
Kipnis,1.5750000000000004
Scherzer,1.1027777777777779
Encarnacion,0.3472222222222222
Jones,0.325
Crisp,0.2111111111111111
Ellsbury,0.2111111111111111
Uehara,0.2
Holland,0.125
Santana,0.125
Hunter,0.1111111111111111
Iwakuma,0.1111111111111111
Victorino,0.1
Darvish,0.1
Perez,0.1
Hernandez,0.1
