Teams,Borda Points
florida-state-seminoles,1466
oregon-ducks,1424
alabama-crimson-tide,1346
oklahoma-sooners,1325
auburn-tigers,1252
texas-am-aggies,1195
baylor-bears,1134
lsu-tigers,1114
notre-dame-fighting-irish,917
ole-miss-rebels,840
michigan-state-spartans,832
ucla-bruins,808
georgia-bulldogs,729
south-carolina-gamecocks,720
arizona-state-sun-devils,681
stanford-cardinal,561
usc-trojans,460
missouri-tigers,447
wisconsin-badgers,415
kansas-state-wildcats,328
byu-cougars,250
ohio-state-buckeyes,214
clemson-tigers,212
nebraska-cornhuskers,175
oklahoma-state-cowboys,128
north-carolina-tar-heels,85
mississippi-state-bulldogs,56
duke-blue-devils,56
penn-state-nittany-lions,52
east-carolina-pirates,45
tcu-horned-frogs,42
pittsburgh-panthers,40
florida-gators,32
marshall-thundering-herd,29
boston-college-eagles,23
west-virginia-mountaineers,14
washington-huskies,14
cincinnati-bearcats,10
virginia-cavaliers,6
arizona-wildcats,3
arkansas-razorbacks,3
north-dakota-state-bison,3
louisville-cardinals,2
