Teams,Borda Points
florida-state-seminoles,1463
oregon-ducks,1415
alabama-crimson-tide,1334
oklahoma-sooners,1303
auburn-tigers,1236
georgia-bulldogs,1201
texas-am-aggies,1101
baylor-bears,1043
usc-trojans,1039
lsu-tigers,1029
notre-dame-fighting-irish,815
ucla-bruins,779
michigan-state-spartans,751
ole-miss-rebels,703
stanford-cardinal,592
arizona-state-sun-devils,570
virginia-tech-hokies,533
wisconsin-badgers,392
kansas-state-wildcats,288
missouri-tigers,240
louisville-cardinals,236
ohio-state-buckeyes,226
clemson-tigers,207
south-carolina-gamecocks,200
byu-cougars,181
nebraska-cornhuskers,155
north-carolina-tar-heels,119
oklahoma-state-cowboys,94
florida-gators,70
duke-blue-devils,43
tcu-horned-frogs,31
mississippi-state-bulldogs,30
marshall-thundering-herd,20
tennessee-volunteers,14
iowa-hawkeyes,11
cincinnati-bearcats,6
west-virginia-mountaineers,6
washington-huskies,4
north-dakota-state-bison,4
texas-tech-red-raiders,3
pittsburgh-panthers,3
utah-utes,2
arizona-wildcats,1
