Teams,Borda Points
florida-state-seminoles,1466
oregon-ducks,1424
alabama-crimson-tide,1346
oklahoma-sooners,1325
auburn-tigers,1252
texas-am-aggies,1195
baylor-bears,1136
lsu-tigers,1117
notre-dame-fighting-irish,928
ole-miss-rebels,856
michigan-state-spartans,850
ucla-bruins,825
georgia-bulldogs,774
arizona-state-sun-devils,706
stanford-cardinal,599
usc-trojans,508
missouri-tigers,492
wisconsin-badgers,449
kansas-state-wildcats,369
byu-cougars,292
clemson-tigers,248
ohio-state-buckeyes,244
nebraska-cornhuskers,202
oklahoma-state-cowboys,150
north-carolina-tar-heels,100
duke-blue-devils,74
virginia-tech-hokies,64
mississippi-state-bulldogs,63
penn-state-nittany-lions,60
east-carolina-pirates,58
tcu-horned-frogs,48
pittsburgh-panthers,47
florida-gators,38
marshall-thundering-herd,37
boston-college-eagles,26
washington-huskies,20
west-virginia-mountaineers,15
cincinnati-bearcats,13
virginia-cavaliers,8
arkansas-razorbacks,5
arizona-wildcats,4
north-dakota-state-bison,4
louisville-cardinals,3
