Teams,Borda Points
mississippi-state-bulldogs,1486
florida-state-seminoles,1453
alabama-crimson-tide,1290
auburn-tigers,1267
oregon-ducks,1199
notre-dame-fighting-irish,1161
ole-miss-rebels,1095
michigan-state-spartans,1086
georgia-bulldogs,1074
tcu-horned-frogs,1030
kansas-state-wildcats,930
baylor-bears,839
ohio-state-buckeyes,676
arizona-wildcats,669
arizona-state-sun-devils,667
lsu-tigers,575
nebraska-cornhuskers,535
utah-utes,524
oklahoma-sooners,430
west-virginia-mountaineers,379
east-carolina-pirates,367
clemson-tigers,267
marshall-thundering-herd,188
duke-blue-devils,123
ucla-bruins,109
usc-trojans,22
wisconsin-badgers,15
stanford-cardinal,10
louisville-cardinals,8
missouri-tigers,7
north-dakota-state-bison,3
oklahoma-state-cowboys,2
