chris-murray,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,georgia-bulldogs,auburn-tigers,ohio-state-buckeyes,oklahoma-sooners,notre-dame-fighting-irish,texas-longhorns,utah-utes,florida-gators,wisconsin-badgers,penn-state-nittany-lions,michigan-wolverines,oregon-ducks,texas-am-aggies,ucf-knights,michigan-state-spartans,usc-trojans,washington-state-cougars,iowa-hawkeyes,california-golden-bears,boise-state-broncos,maryland-terrapins,virginia-cavaliers
chuck-carlton,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,lsu-tigers,oklahoma-sooners,ohio-state-buckeyes,notre-dame-fighting-irish,utah-utes,auburn-tigers,michigan-wolverines,florida-gators,penn-state-nittany-lions,texas-longhorns,texas-am-aggies,oregon-ducks,ucf-knights,wisconsin-badgers,washington-state-cougars,iowa-hawkeyes,california-golden-bears,washington-huskies,tcu-horned-frogs,michigan-state-spartans,colorado-buffaloes,army-west-point-black-knights
conor-oneill,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,lsu-tigers,oklahoma-sooners,notre-dame-fighting-irish,florida-gators,penn-state-nittany-lions,michigan-wolverines,utah-utes,auburn-tigers,oregon-ducks,tcu-horned-frogs,michigan-state-spartans,virginia-cavaliers,texas-am-aggies,texas-longhorns,ucf-knights,iowa-state-cyclones,washington-state-cougars,boise-state-broncos,wisconsin-badgers,maryland-terrapins,usc-trojans
dave-reardon,2019,3,clemson-tigers,georgia-bulldogs,alabama-crimson-tide,oklahoma-sooners,ohio-state-buckeyes,florida-gators,lsu-tigers,auburn-tigers,michigan-state-spartans,wisconsin-badgers,notre-dame-fighting-irish,michigan-wolverines,texas-am-aggies,texas-longhorns,iowa-hawkeyes,utah-utes,oregon-ducks,penn-state-nittany-lions,washington-state-cougars,ucf-knights,tcu-horned-frogs,boise-state-broncos,virginia-cavaliers,maryland-terrapins,california-golden-bears
david-briggs,2019,3,alabama-crimson-tide,clemson-tigers,georgia-bulldogs,lsu-tigers,ohio-state-buckeyes,oklahoma-sooners,notre-dame-fighting-irish,auburn-tigers,michigan-wolverines,texas-longhorns,utah-utes,texas-am-aggies,florida-gators,wisconsin-badgers,penn-state-nittany-lions,oregon-ducks,iowa-hawkeyes,maryland-terrapins,ucf-knights,army-west-point-black-knights,michigan-state-spartans,california-golden-bears,iowa-state-cyclones,washington-state-cougars,virginia-cavaliers
davis-potter,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,lsu-tigers,ohio-state-buckeyes,florida-gators,texas-longhorns,texas-am-aggies,notre-dame-fighting-irish,utah-utes,wisconsin-badgers,auburn-tigers,michigan-wolverines,oregon-ducks,penn-state-nittany-lions,ucf-knights,iowa-hawkeyes,michigan-state-spartans,washington-state-cougars,washington-huskies,oklahoma-state-cowboys,north-carolina-tar-heels,boise-state-broncos,army-west-point-black-knights
don-williams,2019,3,alabama-crimson-tide,clemson-tigers,georgia-bulldogs,lsu-tigers,oklahoma-sooners,ohio-state-buckeyes,michigan-wolverines,notre-dame-fighting-irish,florida-gators,texas-longhorns,utah-utes,auburn-tigers,oregon-ducks,penn-state-nittany-lions,washington-state-cougars,texas-am-aggies,wisconsin-badgers,iowa-hawkeyes,maryland-terrapins,ucf-knights,virginia-cavaliers,iowa-state-cyclones,michigan-state-spartans,usc-trojans,washington-huskies
dylan-sinn,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,lsu-tigers,oklahoma-sooners,ohio-state-buckeyes,notre-dame-fighting-irish,penn-state-nittany-lions,florida-gators,wisconsin-badgers,utah-utes,auburn-tigers,oregon-ducks,texas-am-aggies,texas-longhorns,iowa-hawkeyes,washington-state-cougars,ucf-knights,michigan-wolverines,boise-state-broncos,michigan-state-spartans,iowa-state-cyclones,maryland-terrapins,usc-trojans,california-golden-bears
eric-boynton,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,lsu-tigers,ohio-state-buckeyes,oklahoma-sooners,michigan-wolverines,utah-utes,auburn-tigers,texas-longhorns,wisconsin-badgers,penn-state-nittany-lions,notre-dame-fighting-irish,florida-gators,oregon-ducks,texas-am-aggies,iowa-hawkeyes,michigan-state-spartans,washington-huskies,ucf-knights,washington-state-cougars,virginia-cavaliers,maryland-terrapins,boise-state-broncos,memphis-tigers
eric-hansen,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,lsu-tigers,oklahoma-sooners,notre-dame-fighting-irish,utah-utes,auburn-tigers,wisconsin-badgers,texas-longhorns,florida-gators,texas-am-aggies,michigan-wolverines,penn-state-nittany-lions,virginia-cavaliers,maryland-terrapins,ucf-knights,michigan-state-spartans,oregon-ducks,california-golden-bears,iowa-hawkeyes,iowa-state-cyclones,north-carolina-tar-heels,army-west-point-black-knights
