Season,League,Official Borda,Borda-Top3,Ranks-Top3
2012,NL,"Posey, Braun, McCutchen","Posey, Braun, Molina","1, 2, 4"
2015,NL,"Harper, Goldschmidt, Votto","Harper, Goldschmidt, Arrieta","1, 2, 6"
2018,AL,"Betts, Trout, Ramirez","Betts, Trout, Martinez","1, 2, 4"
2018,NL,"Yelich, Baez, Arenado","Yelich, Baez, DeGrom","1, 2, 5"
