Season,League,Official Borda,Dowdall,Ranks-Dowdall
2012,NL,"Posey, Braun, McCutchen","Posey, Braun, Molina","1, 2, 4"
2018,AL,"Betts, Trout, Ramirez","Betts, Trout, Martinez","1, 2, 4"
