Season,League,Official Borda,Borda-Top1,Ranks-Top1
2012,NL,"Posey, Braun, McCutchen","Posey, Braun, Molina","1, 2, 4"
2013,AL,"Cabrera, Trout, DavisC","Cabrera, Trout, Donaldson","1, 2, 4"
2013,NL,"McCutchen, Goldschmidt, Molina","McCutchen, Molina","1, 3"
2016,AL,"Trout, Betts, Altuve","Trout, Betts, Beltre","1, 2, 7"
2018,AL,"Betts, Trout, Ramirez","Betts, Trout, Martinez","1, 2, 4"
2018,NL,"Yelich, Baez, Arenado","Yelich, DeGrom","1, 5"
2021,NL,"Harper, Soto, Tatis","Harper, Soto, Crawford","1, 2, 4"
