Season,League,Official Borda,Borda-Top1,Ranks-Top1
2012,NL,"Posey, Braun, McCutchen, Molina, Headley","Posey, Braun, Molina","1, 2, 4"
2013,AL,"Cabrera, Trout, DavisC, Donaldson, Cano","Cabrera, Trout, Donaldson, DavisC","1, 2, 4, 3"
2013,NL,"McCutchen, Goldschmidt, Molina, Carpenter, Freeman","McCutchen, Molina","1, 3"
2016,AL,"Trout, Betts, Altuve, Donaldson, Machado","Trout, Betts, Beltre, Ortiz","1, 2, 7, 6"
2017,NL,"Stanton, Votto, Goldschmidt, Arenado, Blackmon","Stanton, Votto, Goldschmidt, Blackmon, Arenado","1, 2, 3, 5, 4"
2018,AL,"Betts, Trout, Ramirez, Martinez, Bregman","Betts, Trout, Martinez","1, 2, 4"
2018,NL,"Yelich, Baez, Arenado, Freeman, DeGrom","Yelich, DeGrom","1, 5"
2021,NL,"Harper, Soto, Tatis, Crawford, Turner","Harper, Soto, Crawford, Tatis, Turner","1, 2, 4, 3, 5"
