Season,League,Official Borda,Borda-Top5,Ranks-Top5
2012,AL,"Cabrera, Trout, Beltre, Cano, Hamilton","Cabrera, Trout, Beltre, Cano, Jones","1, 2, 3, 4, 6"
2013,NL,"McCutchen, Goldschmidt, Molina, Carpenter, Freeman","McCutchen, Goldschmidt, Molina, Carpenter, Kershaw","1, 2, 3, 4, 7"
2014,AL,"Trout, Martinez, Brantley, Abreu, Cano","Trout, Martinez, Brantley, Abreu, Cruz","1, 2, 3, 4, 7"
2014,NL,"Kershaw, Stanton, McCutchen, Lucroy, Rendon","Kershaw, Stanton, McCutchen, Lucroy, Posey","1, 2, 3, 4, 6"
2015,NL,"Harper, Goldschmidt, Votto, Rizzo, McCutchen","Harper, Goldschmidt, Votto, Rizzo, Arrieta","1, 2, 3, 4, 6"
2016,AL,"Trout, Betts, Altuve, Donaldson, Machado","Trout, Betts, Altuve, Donaldson, Beltre","1, 2, 3, 4, 7"
