Year,League,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2019,AL,"Cole, Lindor, Springer",(Cole Lindor),0,1,(Lindor Springer),0,1,(Springer Cole),2,7
2019,AL,"Cruz, Devers, Springer",(Cruz Devers),3,2,(Devers Springer),4,3,(Springer Cruz),7,6
2019,AL,"Cruz, Lindor, Polanco",(Cruz Lindor),2,0,(Lindor Polanco),2,0,(Polanco Cruz),2,1
2019,AL,"Cruz, Polanco, Verlander",(Cruz Polanco),1,2,(Polanco Verlander),0,1,(Verlander Cruz),1,2
2019,AL,"Cruz, Springer, Verlander",(Cruz Springer),6,7,(Springer Verlander),2,7,(Verlander Cruz),1,2
2019,AL,"Devers, Torres, Verlander",(Devers Torres),1,0,(Torres Verlander),1,0,(Verlander Devers),3,2
2019,AL,"Lindor, Polanco, Springer",(Lindor Polanco),2,0,(Polanco Springer),3,1,(Springer Lindor),1,0
2019,NL,"Alonso, Donaldson, Goldschmidt",(Alonso Donaldson),6,4,(Donaldson Goldschmidt),1,0,(Goldschmidt Alonso),1,0
2019,NL,"Alonso, Freeman, Grandal",(Alonso Freeman),7,12,(Freeman Grandal),0,1,(Grandal Alonso),0,2
2019,NL,"Alonso, Freeman, Ryu",(Alonso Freeman),7,12,(Freeman Ryu),0,1,(Ryu Alonso),0,1
2019,NL,"Alonso, Goldschmidt, Soto",(Alonso Goldschmidt),0,1,(Goldschmidt Soto),0,1,(Soto Alonso),3,17
2019,NL,"Arenado, Freeman, Grandal",(Arenado Freeman),5,12,(Freeman Grandal),0,1,(Grandal Arenado),0,2
2019,NL,"DeGrom, Freeman, Grandal",(DeGrom Freeman),2,4,(Freeman Grandal),0,1,(Grandal DeGrom),0,1
2019,NL,"DeGrom, Freeman, Ryu",(DeGrom Freeman),2,4,(Freeman Ryu),0,1,(Ryu DeGrom),0,1
2019,NL,"Donaldson, Realmuto, Story",(Donaldson Realmuto),0,1,(Realmuto Story),0,1,(Story Donaldson),0,4
2019,NL,"Freeman, Grandal, Soto",(Freeman Grandal),0,1,(Grandal Soto),0,1,(Soto Freeman),2,14
2019,NL,"Muncy, Realmuto, Soto",(Muncy Realmuto),0,1,(Realmuto Soto),1,2,(Soto Muncy),0,1
2020,AL,"Anderson, Cruz, Verdugo",(Anderson Cruz),13,16,(Cruz Verdugo),0,1,(Verdugo Anderson),0,1
2020,AL,"Anderson, Trout, Verdugo",(Anderson Trout),8,22,(Trout Verdugo),0,1,(Verdugo Anderson),0,1
2020,AL,"Lowe, Rendon, Ryu",(Lowe Rendon),8,6,(Rendon Ryu),1,0,(Ryu Lowe),1,0
2020,AL,"Lowe, Ryu, Voit",(Lowe Ryu),0,1,(Ryu Voit),0,2,(Voit Lowe),12,14
2020,NL,"AcunaJr, Belt, Turner",(AcunaJr Belt),1,0,(Belt Turner),1,0,(Turner AcunaJr),10,2
2020,NL,"Darvish, Myers, Seager",(Darvish Myers),1,0,(Myers Seager),1,0,(Seager Darvish),2,1
2021,NL,"Adames, Muncy, Reynolds",(Adames Muncy),0,1,(Muncy Reynolds),3,7,(Reynolds Adames),1,2
2021,NL,"Adames, Reynolds, Votto",(Adames Reynolds),2,1,(Reynolds Votto),1,0,(Votto Adames),1,0
2021,NL,"Albies, Castellanos, Crawford",(Albies Castellanos),0,1,(Castellanos Crawford),1,8,(Crawford Albies),1,2
2021,NL,"Albies, Castellanos, Muncy",(Albies Castellanos),0,1,(Castellanos Muncy),0,1,(Muncy Albies),0,1
2021,NL,"Albies, Castellanos, Riley",(Albies Castellanos),0,1,(Castellanos Riley),2,7,(Riley Albies),1,2
2021,NL,"Albies, Crawford, Goldschmidt",(Albies Crawford),2,1,(Crawford Goldschmidt),22,5,(Goldschmidt Albies),2,1
2021,NL,"Albies, Crawford, Scherzer",(Albies Crawford),2,1,(Crawford Scherzer),2,1,(Scherzer Albies),1,0
2021,NL,"Albies, Riley, Scherzer",(Albies Riley),2,1,(Riley Scherzer),2,0,(Scherzer Albies),1,0
2021,NL,"Burnes, Freeman, Scherzer",(Burnes Freeman),0,2,(Freeman Scherzer),0,1,(Scherzer Burnes),0,1
2021,NL,"Burnes, Muncy, Scherzer",(Burnes Muncy),0,2,(Muncy Scherzer),0,1,(Scherzer Burnes),0,1
2021,NL,"Castellanos, Machado, Muncy",(Castellanos Machado),2,1,(Machado Muncy),1,0,(Muncy Castellanos),1,0
2021,NL,"Castellanos, Muncy, Reynolds",(Castellanos Muncy),0,1,(Muncy Reynolds),3,7,(Reynolds Castellanos),0,1
2021,NL,"Crawford, Turner, Wainwright",(Crawford Turner),13,15,(Turner Wainwright),0,1,(Wainwright Crawford),0,1
2021,NL,"Freeman, ONeill, Riley",(Freeman ONeill),2,3,(ONeill Riley),6,7,(Riley Freeman),5,6
2021,NL,"Freeman, Riley, Scherzer",(Freeman Riley),6,5,(Riley Scherzer),2,0,(Scherzer Freeman),1,0
2021,NL,"Goldschmidt, Turner, Wainwright",(Goldschmidt Turner),8,17,(Turner Wainwright),0,1,(Wainwright Goldschmidt),0,1
2021,NL,"Muncy, Turner, Wainwright",(Muncy Turner),1,15,(Turner Wainwright),0,1,(Wainwright Muncy),0,1
2021,NL,"Riley, Turner, Wainwright",(Riley Turner),4,21,(Turner Wainwright),0,1,(Wainwright Riley),0,1
2022,AL,"Arraez, Gimenez, Trout",(Arraez Gimenez),2,0,(Gimenez Trout),19,6,(Trout Arraez),1,0
2022,AL,"Arraez, Gimenez, Verlander",(Arraez Gimenez),2,0,(Gimenez Verlander),9,4,(Verlander Arraez),2,0
2022,AL,"Bichette, Bogaerts, Verlander",(Bichette Bogaerts),2,1,(Bogaerts Verlander),5,3,(Verlander Bichette),1,0
2022,AL,"Bogaerts, Bregman, Rodriguez",(Bogaerts Bregman),1,0,(Bregman Rodriguez),1,0,(Rodriguez Bogaerts),12,6
2022,AL,"Bogaerts, Bregman, Rutschman",(Bogaerts Bregman),1,0,(Bregman Rutschman),1,0,(Rutschman Bogaerts),3,2
2022,AL,"Bogaerts, Bregman, Trout",(Bogaerts Bregman),1,0,(Bregman Trout),1,0,(Trout Bogaerts),12,5
2022,AL,"Devers, Diaz, Trout",(Devers Diaz),1,0,(Diaz Trout),1,0,(Trout Devers),3,1
2022,NL,"Alcantara, Alonso, Lindor",(Alcantara Alonso),5,2,(Alonso Lindor),10,9,(Lindor Alcantara),5,4
2022,NL,"Arenado, Freeman, Urias",(Arenado Freeman),18,12,(Freeman Urias),1,0,(Urias Arenado),1,0
2022,NL,"Freeman, Machado, Urias",(Freeman Machado),6,24,(Machado Urias),0,1,(Urias Freeman),0,1
2023,AL,"Alvarez, Garcia, Ramirez",(Alvarez Garcia),1,0,(Garcia Ramirez),1,0,(Ramirez Alvarez),1,0
2023,AL,"Alvarez, Garcia, RobertJr",(Alvarez Garcia),1,0,(Garcia RobertJr),2,0,(RobertJr Alvarez),1,0
2023,AL,"Alvarez, Garcia, Witt",(Alvarez Garcia),1,0,(Garcia Witt),3,1,(Witt Alvarez),4,2
2023,AL,"Cole, Garcia, Ramirez",(Cole Garcia),1,0,(Garcia Ramirez),1,0,(Ramirez Cole),2,1
2023,AL,"Cole, Garcia, Witt",(Cole Garcia),1,0,(Garcia Witt),3,1,(Witt Cole),5,2
2023,AL,"Cole, Ramirez, RobertJr",(Cole Ramirez),1,2,(Ramirez RobertJr),2,3,(RobertJr Cole),0,1
2023,AL,"Henderson, Judge, Rutschman",(Henderson Judge),0,1,(Judge Rutschman),0,2,(Rutschman Henderson),4,6
2023,AL,"Henderson, Judge, Witt",(Henderson Judge),0,1,(Judge Witt),0,2,(Witt Henderson),5,11
2023,AL,"Henderson, Paredes, Rutschman",(Henderson Paredes),0,1,(Paredes Rutschman),0,1,(Rutschman Henderson),4,6
2023,NL,"Alonso, Arraez, Bellinger",(Alonso Arraez),1,0,(Arraez Bellinger),8,6,(Bellinger Alonso),1,0
2023,NL,"Arraez, Soto, Williams",(Arraez Soto),7,11,(Soto Williams),0,1,(Williams Arraez),0,1
2023,NL,"Bellinger, Soto, Williams",(Bellinger Soto),5,9,(Soto Williams),0,1,(Williams Bellinger),0,1
2023,NL,"Carroll, Riley, Tatis",(Carroll Riley),18,3,(Riley Tatis),1,0,(Tatis Carroll),1,0
2023,NL,"Contreras, Harper, Lindor",(Contreras Harper),1,4,(Harper Lindor),1,2,(Lindor Contreras),3,4
2023,NL,"Contreras, Harper, Riley",(Contreras Harper),1,4,(Harper Riley),1,4,(Riley Contreras),1,6
2023,NL,"Contreras, Soto, Williams",(Contreras Soto),3,6,(Soto Williams),0,1,(Williams Contreras),0,1
2023,NL,"Lindor, Soto, Webb",(Lindor Soto),5,9,(Soto Webb),0,1,(Webb Lindor),0,1
2023,NL,"Snell, Soto, Webb",(Snell Soto),1,3,(Soto Webb),0,1,(Webb Snell),0,1
