Year,League,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2012,NL,"Craig, Kimbrel, Prado",(Craig Kimbrel),0,2,(Kimbrel Prado),0,1,(Prado Craig),0,1
2012,NL,"Craig, Molina, Zimmerman",(Craig Molina),0,3,(Molina Zimmerman),0,1,(Zimmerman Craig),0,1
2012,NL,"Craig, Phillips, Zimmerman",(Craig Phillips),1,2,(Phillips Zimmerman),0,1,(Zimmerman Craig),0,1
2012,NL,"Dickey, Kershaw, Kimbrel",(Dickey Kershaw),1,2,(Kershaw Kimbrel),1,2,(Kimbrel Dickey),0,1
2012,NL,"Dickey, Kimbrel, Ramirez",(Dickey Kimbrel),1,0,(Kimbrel Ramirez),3,1,(Ramirez Dickey),3,0
2012,NL,"Dickey, Kimbrel, Wright",(Dickey Kimbrel),1,0,(Kimbrel Wright),8,3,(Wright Dickey),4,1
2012,NL,"Dickey, Stanton, Wright",(Dickey Stanton),1,0,(Stanton Wright),2,0,(Wright Dickey),4,1
2012,NL,"Gonzalez, Holliday, Ramirez",(Gonzalez Holliday),0,1,(Holliday Ramirez),2,4,(Ramirez Gonzalez),0,1
2012,NL,"Gonzalez, Ramirez, Zimmerman",(Gonzalez Ramirez),1,0,(Ramirez Zimmerman),1,0,(Zimmerman Gonzalez),1,0
2012,NL,"Gonzalez, Soriano, Wright",(Gonzalez Soriano),1,0,(Soriano Wright),1,0,(Wright Gonzalez),1,0
2012,NL,"Headley, Kimbrel, Wright",(Headley Kimbrel),9,6,(Kimbrel Wright),8,3,(Wright Headley),11,9
2012,NL,"Headley, Molina, Zimmerman",(Headley Molina),1,26,(Molina Zimmerman),0,1,(Zimmerman Headley),0,1
2012,NL,"Headley, Phillips, Wright",(Headley Phillips),3,0,(Phillips Wright),1,0,(Wright Headley),11,9
2012,NL,"Headley, Stanton, Wright",(Headley Stanton),2,0,(Stanton Wright),2,0,(Wright Headley),11,9
2012,NL,"Headley, Wright, Zimmerman",(Headley Wright),9,11,(Wright Zimmerman),0,1,(Zimmerman Headley),0,1
2012,NL,"Holliday, Molina, Zimmerman",(Holliday Molina),2,9,(Molina Zimmerman),0,1,(Zimmerman Holliday),0,1
2012,NL,"Holliday, Phillips, Wright",(Holliday Phillips),2,0,(Phillips Wright),1,0,(Wright Holliday),5,3
2012,NL,"Holliday, Prado, Soriano",(Holliday Prado),0,1,(Prado Soriano),0,1,(Soriano Holliday),0,1
2012,NL,"Holliday, Soriano, Wright",(Holliday Soriano),1,0,(Soriano Wright),1,0,(Wright Holliday),5,3
2012,NL,"Holliday, Wright, Zimmerman",(Holliday Wright),3,5,(Wright Zimmerman),0,1,(Zimmerman Holliday),0,1
2012,NL,"Kershaw, Kimbrel, Stanton",(Kershaw Kimbrel),1,2,(Kimbrel Stanton),0,1,(Stanton Kershaw),0,1
2012,NL,"Kershaw, Stanton, Wright",(Kershaw Stanton),1,0,(Stanton Wright),2,0,(Wright Kershaw),3,1
2012,NL,"Kimbrel, Molina, Zimmerman",(Kimbrel Molina),1,16,(Molina Zimmerman),0,1,(Zimmerman Kimbrel),0,1
2012,NL,"Kimbrel, Prado, Ramirez",(Kimbrel Prado),0,1,(Prado Ramirez),0,1,(Ramirez Kimbrel),1,3
2012,NL,"Kimbrel, Prado, Votto",(Kimbrel Prado),0,1,(Prado Votto),0,1,(Votto Kimbrel),2,3
2012,NL,"LaRoche, Molina, Zimmerman",(LaRoche Molina),1,17,(Molina Zimmerman),0,1,(Zimmerman LaRoche),0,1
2012,NL,"Molina, Prado, Zimmerman",(Molina Prado),2,0,(Prado Zimmerman),1,0,(Zimmerman Molina),1,0
2012,NL,"Molina, Ramirez, Zimmerman",(Molina Ramirez),13,0,(Ramirez Zimmerman),1,0,(Zimmerman Molina),1,0
2012,NL,"Ramirez, Soriano, Wright",(Ramirez Soriano),1,0,(Soriano Wright),1,0,(Wright Ramirez),6,3
2012,NL,"Ramirez, Wright, Zimmerman",(Ramirez Wright),3,6,(Wright Zimmerman),0,1,(Zimmerman Ramirez),0,1
2013,NL,"Bruce, Choo, Ramirez",(Bruce Choo),1,0,(Choo Ramirez),2,0,(Ramirez Bruce),3,2
2013,NL,"Carpenter, Freeman, Posey",(Carpenter Freeman),24,6,(Freeman Posey),1,0,(Posey Carpenter),1,0
2013,NL,"Carpenter, Gomez, Posey",(Carpenter Gomez),13,2,(Gomez Posey),1,0,(Posey Carpenter),1,0
2013,NL,"Carpenter, Kershaw, Posey",(Carpenter Kershaw),17,9,(Kershaw Posey),1,0,(Posey Carpenter),1,0
2013,NL,"Carpenter, Kershaw, Votto",(Carpenter Kershaw),17,9,(Kershaw Votto),13,10,(Votto Carpenter),14,13
2013,NL,"Choo, Gomez, Ramirez",(Choo Gomez),2,6,(Gomez Ramirez),2,3,(Ramirez Choo),0,2
2013,NL,"Choo, Kimbrel, Ramirez",(Choo Kimbrel),0,1,(Kimbrel Ramirez),2,3,(Ramirez Choo),0,2
2013,NL,"Choo, Pence, Werth",(Choo Pence),2,0,(Pence Werth),1,0,(Werth Choo),3,0
2013,NL,"Choo, Ramirez, Werth",(Choo Ramirez),2,0,(Ramirez Werth),3,1,(Werth Choo),3,0
2013,NL,"Craig, Gomez, Ramirez",(Craig Gomez),0,1,(Gomez Ramirez),2,3,(Ramirez Craig),0,1
2013,NL,"Craig, Kimbrel, Ramirez",(Craig Kimbrel),0,2,(Kimbrel Ramirez),2,3,(Ramirez Craig),0,1
2013,NL,"Freeman, Gomez, Wainwright",(Freeman Gomez),12,3,(Gomez Wainwright),1,0,(Wainwright Freeman),1,0
2014,AL,"Abreu, Bautista, Shields",(Abreu Bautista),15,9,(Bautista Shields),1,0,(Shields Abreu),1,0
2014,AL,"Abreu, Cano, Shields",(Abreu Cano),11,10,(Cano Shields),1,0,(Shields Abreu),1,0
2014,AL,"Abreu, Donaldson, Shields",(Abreu Donaldson),14,8,(Donaldson Shields),1,0,(Shields Abreu),1,0
2014,AL,"Abreu, Jones, Shields",(Abreu Jones),4,3,(Jones Shields),1,0,(Shields Abreu),1,0
2014,AL,"Bautista, Brantley, Shields",(Bautista Brantley),5,18,(Brantley Shields),0,1,(Shields Bautista),0,1
2014,AL,"Bautista, Gordon, Hernandez",(Bautista Gordon),8,3,(Gordon Hernandez),2,1,(Hernandez Bautista),4,3
2014,AL,"Brantley, Cano, Shields",(Brantley Cano),14,6,(Cano Shields),1,0,(Shields Brantley),1,0
2014,AL,"Brantley, Cruz, Shields",(Brantley Cruz),8,6,(Cruz Shields),1,0,(Shields Brantley),1,0
2014,AL,"Brantley, Donaldson, Shields",(Brantley Donaldson),18,5,(Donaldson Shields),1,0,(Shields Brantley),1,0
2014,AL,"Brantley, Jones, Shields",(Brantley Jones),7,1,(Jones Shields),1,0,(Shields Brantley),1,0
2014,AL,"Cabrera, Donaldson, Holland",(Cabrera Donaldson),7,9,(Donaldson Holland),0,2,(Holland Cabrera),1,2
2014,AL,"Cabrera, Donaldson, Kendrick",(Cabrera Donaldson),7,9,(Donaldson Kendrick),0,1,(Kendrick Cabrera),0,1
2014,AL,"Cabrera, Holland, Jones",(Cabrera Holland),2,1,(Holland Jones),1,0,(Jones Cabrera),3,2
2014,AL,"Cabrera, Jones, Kendrick",(Cabrera Jones),2,3,(Jones Kendrick),0,1,(Kendrick Cabrera),0,1
2014,AL,"Cano, Gordon, Hernandez",(Cano Gordon),9,1,(Gordon Hernandez),2,1,(Hernandez Cano),4,2
2014,AL,"Cano, Gordon, Kluber",(Cano Gordon),9,1,(Gordon Kluber),4,1,(Kluber Cano),4,3
2014,AL,"Cano, Holland, Kluber",(Cano Holland),1,0,(Holland Kluber),1,0,(Kluber Cano),4,3
2014,AL,"Donaldson, Gordon, Hernandez",(Donaldson Gordon),10,3,(Gordon Hernandez),2,1,(Hernandez Donaldson),3,2
2014,AL,"Donaldson, Gordon, Kendrick",(Donaldson Gordon),10,3,(Gordon Kendrick),1,0,(Kendrick Donaldson),1,0
2014,AL,"Donaldson, Jones, Pujols",(Donaldson Jones),5,3,(Jones Pujols),2,0,(Pujols Donaldson),1,0
2014,NL,"Duda, Gonzalez, Holliday",(Duda Gonzalez),1,0,(Gonzalez Holliday),3,1,(Holliday Duda),1,0
2014,NL,"Gonzalez, Holliday, Mesoraco",(Gonzalez Holliday),3,1,(Holliday Mesoraco),1,0,(Mesoraco Gonzalez),1,0
2014,NL,"Harrison, Lucroy, Span",(Harrison Lucroy),1,15,(Lucroy Span),0,1,(Span Harrison),0,1
2014,NL,"Harrison, Martin, Rizzo",(Harrison Martin),1,2,(Martin Rizzo),1,4,(Rizzo Harrison),3,5
2014,NL,"Lucroy, Peralta, Span",(Lucroy Peralta),6,0,(Peralta Span),1,0,(Span Lucroy),1,0
2014,NL,"Lucroy, Rendon, Span",(Lucroy Rendon),18,9,(Rendon Span),1,0,(Span Lucroy),1,0
2014,NL,"Morneau, Rizzo, Werth",(Morneau Rizzo),1,0,(Rizzo Werth),2,1,(Werth Morneau),1,0
2015,AL,"Altuve, Cabrera, DavisC",(Altuve Cabrera),1,3,(Cabrera DavisC),1,3,(DavisC Altuve),1,2
2015,AL,"Altuve, Cabrera, Encarnacion",(Altuve Cabrera),1,3,(Cabrera Encarnacion),1,2,(Encarnacion Altuve),2,4
2015,AL,"Altuve, Cruz, Encarnacion",(Altuve Cruz),3,4,(Cruz Encarnacion),3,4,(Encarnacion Altuve),2,4
2015,AL,"Altuve, Cruz, McCann",(Altuve Cruz),3,4,(Cruz McCann),0,1,(McCann Altuve),0,1
2015,AL,"Altuve, Fielder, Moustakas",(Altuve Fielder),1,3,(Fielder Moustakas),0,1,(Moustakas Altuve),0,1
2015,AL,"Bautista, Beltre, Kipnis",(Bautista Beltre),6,8,(Beltre Kipnis),1,2,(Kipnis Bautista),0,1
2015,AL,"Bautista, Cain, Morales",(Bautista Cain),2,18,(Cain Morales),0,1,(Morales Bautista),0,1
2015,AL,"Bautista, Cruz, Encarnacion",(Bautista Cruz),7,10,(Cruz Encarnacion),3,4,(Encarnacion Bautista),2,5
2015,AL,"Bautista, Cruz, Fielder",(Bautista Cruz),7,10,(Cruz Fielder),3,4,(Fielder Bautista),1,4
2015,AL,"Bautista, Cruz, McCann",(Bautista Cruz),7,10,(Cruz McCann),0,1,(McCann Bautista),0,1
2015,AL,"Bautista, Cruz, Morales",(Bautista Cruz),7,10,(Cruz Morales),0,1,(Morales Bautista),0,1
2015,AL,"Bautista, DavisC, Kiermaier",(Bautista DavisC),6,1,(DavisC Kiermaier),2,1,(Kiermaier Bautista),1,0
2015,AL,"Bautista, Encarnacion, Moustakas",(Bautista Encarnacion),5,2,(Encarnacion Moustakas),1,0,(Moustakas Bautista),1,0
2015,AL,"Bautista, Kiermaier, Kipnis",(Bautista Kiermaier),0,1,(Kiermaier Kipnis),0,1,(Kipnis Bautista),0,1
