Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2021,4,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,texas-am-aggies,oregon-ducks,clemson-tigers,ohio-state-buckeyes,iowa-hawkeyes,cincinnati-bearcats,penn-state-nittany-lions,florida-gators,notre-dame-fighting-irish,iowa-state-cyclones,wisconsin-badgers,ole-miss-rebels,coastal-carolina-chanticleers,arkansas-razorbacks,north-carolina-tar-heels,byu-cougars,michigan-wolverines,ucla-bruins,michigan-state-spartans,oklahoma-state-cowboys,kansas-state-wildcats,lsu-tigers
adam-grosbard,2021,4,alabama-crimson-tide,georgia-bulldogs,oregon-ducks,oklahoma-sooners,iowa-hawkeyes,penn-state-nittany-lions,cincinnati-bearcats,texas-am-aggies,clemson-tigers,ohio-state-buckeyes,notre-dame-fighting-irish,florida-gators,coastal-carolina-chanticleers,iowa-state-cyclones,byu-cougars,wisconsin-badgers,ole-miss-rebels,arkansas-razorbacks,north-carolina-tar-heels,michigan-wolverines,michigan-state-spartans,fresno-state-bulldogs,kansas-state-wildcats,tcu-horned-frogs,auburn-tigers
adam-zucker,2021,4,alabama-crimson-tide,georgia-bulldogs,iowa-hawkeyes,oregon-ducks,oklahoma-sooners,penn-state-nittany-lions,florida-gators,clemson-tigers,ohio-state-buckeyes,cincinnati-bearcats,texas-am-aggies,ole-miss-rebels,byu-cougars,arkansas-razorbacks,coastal-carolina-chanticleers,michigan-state-spartans,iowa-state-cyclones,michigan-wolverines,notre-dame-fighting-irish,maryland-terrapins,auburn-tigers,wisconsin-badgers,virginia-tech-hokies,fresno-state-bulldogs,ucla-bruins
andy-greder,2021,4,alabama-crimson-tide,georgia-bulldogs,oregon-ducks,oklahoma-sooners,iowa-hawkeyes,texas-am-aggies,clemson-tigers,cincinnati-bearcats,penn-state-nittany-lions,florida-gators,ohio-state-buckeyes,notre-dame-fighting-irish,iowa-state-cyclones,wisconsin-badgers,ole-miss-rebels,coastal-carolina-chanticleers,michigan-wolverines,auburn-tigers,north-carolina-tar-heels,arkansas-razorbacks,byu-cougars,michigan-state-spartans,tcu-horned-frogs,texas-longhorns,kansas-state-wildcats
ben-portnoy,2021,4,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,oregon-ducks,iowa-hawkeyes,texas-am-aggies,penn-state-nittany-lions,ohio-state-buckeyes,cincinnati-bearcats,clemson-tigers,notre-dame-fighting-irish,iowa-state-cyclones,florida-gators,ole-miss-rebels,coastal-carolina-chanticleers,liberty-flames,north-carolina-tar-heels,wisconsin-badgers,byu-cougars,arkansas-razorbacks,ucla-bruins,lsu-tigers,michigan-wolverines,san-diego-state-aztecs,oklahoma-state-cowboys
bennett-conlin,2021,4,alabama-crimson-tide,georgia-bulldogs,oregon-ducks,iowa-hawkeyes,penn-state-nittany-lions,cincinnati-bearcats,oklahoma-sooners,texas-am-aggies,clemson-tigers,ole-miss-rebels,ohio-state-buckeyes,florida-gators,byu-cougars,arkansas-razorbacks,notre-dame-fighting-irish,coastal-carolina-chanticleers,michigan-wolverines,wisconsin-badgers,michigan-state-spartans,iowa-state-cyclones,fresno-state-bulldogs,virginia-tech-hokies,north-carolina-tar-heels,kansas-state-wildcats,oklahoma-state-cowboys
blair-kerkhoff,2021,4,alabama-crimson-tide,georgia-bulldogs,oregon-ducks,oklahoma-sooners,clemson-tigers,texas-am-aggies,iowa-hawkeyes,cincinnati-bearcats,penn-state-nittany-lions,ohio-state-buckeyes,florida-gators,notre-dame-fighting-irish,iowa-state-cyclones,wisconsin-badgers,ole-miss-rebels,coastal-carolina-chanticleers,north-carolina-tar-heels,michigan-state-spartans,michigan-wolverines,byu-cougars,arkansas-razorbacks,auburn-tigers,kansas-state-wildcats,oklahoma-state-cowboys,usc-trojans
brett-mcmurphy,2021,4,alabama-crimson-tide,georgia-bulldogs,oregon-ducks,iowa-hawkeyes,penn-state-nittany-lions,texas-am-aggies,oklahoma-sooners,cincinnati-bearcats,clemson-tigers,florida-gators,ohio-state-buckeyes,notre-dame-fighting-irish,arkansas-razorbacks,byu-cougars,wisconsin-badgers,ole-miss-rebels,iowa-state-cyclones,north-carolina-tar-heels,michigan-wolverines,liberty-flames,michigan-state-spartans,coastal-carolina-chanticleers,virginia-tech-hokies,oklahoma-state-cowboys,ucla-bruins
brian-howell,2021,4,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,oregon-ducks,iowa-hawkeyes,texas-am-aggies,cincinnati-bearcats,penn-state-nittany-lions,clemson-tigers,ohio-state-buckeyes,notre-dame-fighting-irish,florida-gators,wisconsin-badgers,north-carolina-tar-heels,michigan-state-spartans,iowa-state-cyclones,coastal-carolina-chanticleers,byu-cougars,fresno-state-bulldogs,ucla-bruins,michigan-wolverines,arkansas-razorbacks,ole-miss-rebels,virginia-tech-hokies,oklahoma-state-cowboys
bryce-miller,2021,4,alabama-crimson-tide,georgia-bulldogs,oregon-ducks,florida-gators,iowa-hawkeyes,cincinnati-bearcats,oklahoma-sooners,clemson-tigers,penn-state-nittany-lions,texas-am-aggies,ohio-state-buckeyes,notre-dame-fighting-irish,michigan-wolverines,iowa-state-cyclones,wisconsin-badgers,ole-miss-rebels,michigan-state-spartans,auburn-tigers,north-carolina-tar-heels,coastal-carolina-chanticleers,arkansas-razorbacks,byu-cougars,fresno-state-bulldogs,kansas-state-wildcats,oklahoma-state-cowboys
