Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2021,14,georgia-bulldogs,alabama-crimson-tide,michigan-wolverines,cincinnati-bearcats,notre-dame-fighting-irish,oklahoma-state-cowboys,oregon-ducks,ohio-state-buckeyes,baylor-bears,ole-miss-rebels,michigan-state-spartans,iowa-hawkeyes,oklahoma-sooners,houston-cougars,byu-cougars,pittsburgh-panthers,utah-utes,wake-forest-demon-deacons,north-carolina-state-wolfpack,louisiana-lafayette-ragin-cajuns,san-diego-state-aztecs,clemson-tigers,arkansas-razorbacks,texas-am-aggies,appalachian-state-mountaineers
adam-grosbard,2021,14,georgia-bulldogs,michigan-wolverines,cincinnati-bearcats,alabama-crimson-tide,oklahoma-state-cowboys,notre-dame-fighting-irish,ole-miss-rebels,baylor-bears,ohio-state-buckeyes,michigan-state-spartans,byu-cougars,oregon-ducks,oklahoma-sooners,utah-utes,iowa-hawkeyes,houston-cougars,arkansas-razorbacks,pittsburgh-panthers,san-diego-state-aztecs,texas-am-aggies,wake-forest-demon-deacons,north-carolina-state-wolfpack,wisconsin-badgers,louisiana-lafayette-ragin-cajuns,clemson-tigers
adam-zucker,2021,14,georgia-bulldogs,michigan-wolverines,alabama-crimson-tide,cincinnati-bearcats,oklahoma-state-cowboys,notre-dame-fighting-irish,ole-miss-rebels,oregon-ducks,ohio-state-buckeyes,baylor-bears,michigan-state-spartans,oklahoma-sooners,pittsburgh-panthers,wake-forest-demon-deacons,iowa-hawkeyes,byu-cougars,utah-utes,arkansas-razorbacks,san-diego-state-aztecs,houston-cougars,north-carolina-state-wolfpack,clemson-tigers,louisiana-lafayette-ragin-cajuns,texas-am-aggies,wisconsin-badgers
andy-greder,2021,14,georgia-bulldogs,cincinnati-bearcats,michigan-wolverines,alabama-crimson-tide,notre-dame-fighting-irish,ohio-state-buckeyes,oklahoma-state-cowboys,ole-miss-rebels,baylor-bears,oregon-ducks,michigan-state-spartans,byu-cougars,oklahoma-sooners,houston-cougars,utah-utes,pittsburgh-panthers,iowa-hawkeyes,san-diego-state-aztecs,wake-forest-demon-deacons,louisiana-lafayette-ragin-cajuns,north-carolina-state-wolfpack,appalachian-state-mountaineers,arkansas-razorbacks,clemson-tigers,kentucky-wildcats
ben-portnoy,2021,14,georgia-bulldogs,cincinnati-bearcats,michigan-wolverines,oklahoma-state-cowboys,alabama-crimson-tide,notre-dame-fighting-irish,ole-miss-rebels,oregon-ducks,ohio-state-buckeyes,baylor-bears,wisconsin-badgers,iowa-hawkeyes,pittsburgh-panthers,oklahoma-sooners,byu-cougars,wake-forest-demon-deacons,michigan-state-spartans,houston-cougars,north-carolina-state-wolfpack,clemson-tigers,san-diego-state-aztecs,utah-utes,arkansas-razorbacks,utsa-roadrunners,louisiana-lafayette-ragin-cajuns
blair-kerkhoff,2021,14,georgia-bulldogs,michigan-wolverines,cincinnati-bearcats,alabama-crimson-tide,oklahoma-state-cowboys,notre-dame-fighting-irish,ohio-state-buckeyes,ole-miss-rebels,baylor-bears,oregon-ducks,michigan-state-spartans,oklahoma-sooners,byu-cougars,utah-utes,iowa-hawkeyes,houston-cougars,pittsburgh-panthers,san-diego-state-aztecs,louisiana-lafayette-ragin-cajuns,north-carolina-state-wolfpack,arkansas-razorbacks,texas-am-aggies,clemson-tigers,appalachian-state-mountaineers,army-west-point-black-knights
brett-mcmurphy,2021,14,georgia-bulldogs,alabama-crimson-tide,michigan-wolverines,oklahoma-state-cowboys,cincinnati-bearcats,notre-dame-fighting-irish,ole-miss-rebels,baylor-bears,ohio-state-buckeyes,utah-utes,byu-cougars,oregon-ducks,michigan-state-spartans,oklahoma-sooners,houston-cougars,iowa-hawkeyes,kentucky-wildcats,pittsburgh-panthers,wake-forest-demon-deacons,san-diego-state-aztecs,louisiana-lafayette-ragin-cajuns,arkansas-razorbacks,texas-am-aggies,north-carolina-state-wolfpack,appalachian-state-mountaineers
brian-howell,2021,14,georgia-bulldogs,cincinnati-bearcats,alabama-crimson-tide,michigan-wolverines,oklahoma-state-cowboys,notre-dame-fighting-irish,baylor-bears,ohio-state-buckeyes,ole-miss-rebels,oregon-ducks,byu-cougars,oklahoma-sooners,michigan-state-spartans,iowa-hawkeyes,houston-cougars,pittsburgh-panthers,wake-forest-demon-deacons,san-diego-state-aztecs,utah-utes,north-carolina-state-wolfpack,clemson-tigers,louisiana-lafayette-ragin-cajuns,kentucky-wildcats,utsa-roadrunners,appalachian-state-mountaineers
bryce-miller,2021,14,georgia-bulldogs,michigan-wolverines,alabama-crimson-tide,cincinnati-bearcats,notre-dame-fighting-irish,oklahoma-state-cowboys,ohio-state-buckeyes,ole-miss-rebels,baylor-bears,oregon-ducks,oklahoma-sooners,iowa-hawkeyes,michigan-state-spartans,byu-cougars,houston-cougars,pittsburgh-panthers,san-diego-state-aztecs,utah-utes,clemson-tigers,wake-forest-demon-deacons,north-carolina-state-wolfpack,arkansas-razorbacks,texas-am-aggies,minnesota-golden-gophers,wisconsin-badgers
chris-murray,2021,14,georgia-bulldogs,cincinnati-bearcats,michigan-wolverines,alabama-crimson-tide,oklahoma-state-cowboys,notre-dame-fighting-irish,ohio-state-buckeyes,ole-miss-rebels,baylor-bears,oklahoma-sooners,byu-cougars,iowa-hawkeyes,san-diego-state-aztecs,oregon-ducks,michigan-state-spartans,wake-forest-demon-deacons,houston-cougars,pittsburgh-panthers,utah-utes,louisiana-lafayette-ragin-cajuns,north-carolina-state-wolfpack,kentucky-wildcats,utsa-roadrunners,clemson-tigers,arkansas-razorbacks
