Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-cole,2023,15,washington-huskies,michigan-wolverines,florida-state-seminoles,texas-longhorns,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oregon-ducks,ole-miss-rebels,missouri-tigers,oklahoma-sooners,lsu-tigers,penn-state-nittany-lions,arizona-wildcats,louisville-cardinals,notre-dame-fighting-irish,southern-methodist-mustangs,north-carolina-state-wolfpack,liberty-flames,iowa-hawkeyes,oregon-state-beavers,clemson-tigers,james-madison-dukes,tulane-green-wave,troy-trojans
adam-zucker,2023,15,michigan-wolverines,washington-huskies,texas-longhorns,alabama-crimson-tide,georgia-bulldogs,florida-state-seminoles,ohio-state-buckeyes,oregon-ducks,missouri-tigers,arizona-wildcats,penn-state-nittany-lions,ole-miss-rebels,lsu-tigers,oklahoma-sooners,louisville-cardinals,notre-dame-fighting-irish,oklahoma-state-cowboys,north-carolina-state-wolfpack,iowa-hawkeyes,oregon-state-beavers,southern-methodist-mustangs,tennessee-volunteers,clemson-tigers,james-madison-dukes,liberty-flames
amie-just,2023,15,michigan-wolverines,washington-huskies,texas-longhorns,florida-state-seminoles,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oregon-ducks,penn-state-nittany-lions,missouri-tigers,ole-miss-rebels,oklahoma-sooners,lsu-tigers,arizona-wildcats,liberty-flames,louisville-cardinals,notre-dame-fighting-irish,southern-methodist-mustangs,iowa-hawkeyes,oklahoma-state-cowboys,oregon-state-beavers,north-carolina-state-wolfpack,james-madison-dukes,miami-oh-redhawks,tulane-green-wave
blair-kerkhoff,2023,15,michigan-wolverines,washington-huskies,texas-longhorns,alabama-crimson-tide,florida-state-seminoles,georgia-bulldogs,ohio-state-buckeyes,oregon-ducks,missouri-tigers,penn-state-nittany-lions,ole-miss-rebels,oklahoma-sooners,lsu-tigers,arizona-wildcats,notre-dame-fighting-irish,north-carolina-state-wolfpack,oregon-state-beavers,louisville-cardinals,iowa-hawkeyes,southern-methodist-mustangs,liberty-flames,oklahoma-state-cowboys,james-madison-dukes,tulane-green-wave,troy-trojans
bob-asmussen,2023,15,michigan-wolverines,washington-huskies,florida-state-seminoles,texas-longhorns,alabama-crimson-tide,ohio-state-buckeyes,georgia-bulldogs,oregon-ducks,missouri-tigers,penn-state-nittany-lions,ole-miss-rebels,oklahoma-sooners,southern-methodist-mustangs,arizona-wildcats,louisville-cardinals,lsu-tigers,tulane-green-wave,notre-dame-fighting-irish,liberty-flames,iowa-hawkeyes,north-carolina-state-wolfpack,oregon-state-beavers,oklahoma-state-cowboys,james-madison-dukes,miami-oh-redhawks
brett-mcmurphy,2023,15,michigan-wolverines,washington-huskies,texas-longhorns,alabama-crimson-tide,georgia-bulldogs,florida-state-seminoles,ohio-state-buckeyes,missouri-tigers,oregon-ducks,ole-miss-rebels,arizona-wildcats,lsu-tigers,oklahoma-sooners,penn-state-nittany-lions,notre-dame-fighting-irish,liberty-flames,north-carolina-state-wolfpack,southern-methodist-mustangs,clemson-tigers,troy-trojans,louisville-cardinals,oklahoma-state-cowboys,miami-oh-redhawks,kansas-state-wildcats,iowa-hawkeyes
brian-fonseca,2023,15,michigan-wolverines,washington-huskies,florida-state-seminoles,texas-longhorns,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oregon-ducks,penn-state-nittany-lions,ole-miss-rebels,oklahoma-sooners,missouri-tigers,arizona-wildcats,louisville-cardinals,liberty-flames,southern-methodist-mustangs,lsu-tigers,tulane-green-wave,iowa-hawkeyes,oklahoma-state-cowboys,oregon-state-beavers,notre-dame-fighting-irish,north-carolina-state-wolfpack,james-madison-dukes,miami-oh-redhawks
brian-howell,2023,15,washington-huskies,michigan-wolverines,florida-state-seminoles,texas-longhorns,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oregon-ducks,missouri-tigers,ole-miss-rebels,penn-state-nittany-lions,lsu-tigers,oklahoma-sooners,liberty-flames,arizona-wildcats,louisville-cardinals,notre-dame-fighting-irish,southern-methodist-mustangs,tulane-green-wave,iowa-hawkeyes,oregon-state-beavers,north-carolina-state-wolfpack,tennessee-volunteers,james-madison-dukes,miami-oh-redhawks
chad-leistikow,2023,15,michigan-wolverines,washington-huskies,texas-longhorns,alabama-crimson-tide,florida-state-seminoles,georgia-bulldogs,ohio-state-buckeyes,oregon-ducks,missouri-tigers,penn-state-nittany-lions,oklahoma-sooners,ole-miss-rebels,lsu-tigers,arizona-wildcats,notre-dame-fighting-irish,louisville-cardinals,iowa-hawkeyes,liberty-flames,north-carolina-state-wolfpack,southern-methodist-mustangs,clemson-tigers,oregon-state-beavers,tulane-green-wave,miami-oh-redhawks,tennessee-volunteers
chris-murray,2023,15,washington-huskies,michigan-wolverines,florida-state-seminoles,texas-longhorns,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oregon-ducks,missouri-tigers,oklahoma-sooners,ole-miss-rebels,penn-state-nittany-lions,louisville-cardinals,arizona-wildcats,lsu-tigers,notre-dame-fighting-irish,north-carolina-state-wolfpack,oklahoma-state-cowboys,iowa-hawkeyes,liberty-flames,southern-methodist-mustangs,oregon-state-beavers,tulane-green-wave,james-madison-dukes,tennessee-volunteers
