Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2015,17,alabama-crimson-tide,clemson-tigers,stanford-cardinal,ohio-state-buckeyes,michigan-state-spartans,oklahoma-sooners,iowa-hawkeyes,tcu-horned-frogs,ole-miss-rebels,houston-cougars,notre-dame-fighting-irish,utah-utes,michigan-wolverines,lsu-tigers,baylor-bears,north-carolina-tar-heels,florida-state-seminoles,navy-midshipmen,wisconsin-badgers,tennessee-volunteers,oklahoma-state-cowboys,northwestern-wildcats,oregon-ducks,florida-gators,san-diego-state-aztecs
adam-zucker,2015,17,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,stanford-cardinal,michigan-state-spartans,oklahoma-sooners,notre-dame-fighting-irish,tcu-horned-frogs,iowa-hawkeyes,ole-miss-rebels,baylor-bears,houston-cougars,north-carolina-tar-heels,michigan-wolverines,florida-state-seminoles,navy-midshipmen,lsu-tigers,utah-utes,washington-state-cougars,oregon-ducks,oklahoma-state-cowboys,tennessee-volunteers,northwestern-wildcats,wisconsin-badgers,toledo-rockets
bob-asmussen,2015,17,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,stanford-cardinal,oklahoma-sooners,tcu-horned-frogs,houston-cougars,michigan-state-spartans,notre-dame-fighting-irish,iowa-hawkeyes,ole-miss-rebels,michigan-wolverines,baylor-bears,lsu-tigers,north-carolina-tar-heels,northwestern-wildcats,florida-state-seminoles,oklahoma-state-cowboys,oregon-ducks,western-kentucky-hilltoppers,utah-utes,navy-midshipmen,wisconsin-badgers,san-diego-state-aztecs,tennessee-volunteers
brent-axe,2015,17,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,stanford-cardinal,oklahoma-sooners,michigan-state-spartans,houston-cougars,ole-miss-rebels,tcu-horned-frogs,baylor-bears,iowa-hawkeyes,notre-dame-fighting-irish,north-carolina-tar-heels,michigan-wolverines,navy-midshipmen,wisconsin-badgers,florida-state-seminoles,lsu-tigers,western-kentucky-hilltoppers,northwestern-wildcats,utah-utes,georgia-bulldogs,oklahoma-state-cowboys,oregon-ducks,toledo-rockets
brett-mcmurphy,2015,17,alabama-crimson-tide,clemson-tigers,stanford-cardinal,oklahoma-sooners,michigan-state-spartans,tcu-horned-frogs,ohio-state-buckeyes,houston-cougars,iowa-hawkeyes,notre-dame-fighting-irish,michigan-wolverines,ole-miss-rebels,utah-utes,lsu-tigers,northwestern-wildcats,wisconsin-badgers,florida-state-seminoles,baylor-bears,oklahoma-state-cowboys,oregon-ducks,tennessee-volunteers,washington-state-cougars,north-carolina-tar-heels,western-kentucky-hilltoppers,san-diego-state-aztecs
brian-howell,2015,17,alabama-crimson-tide,clemson-tigers,stanford-cardinal,ohio-state-buckeyes,oklahoma-sooners,michigan-state-spartans,houston-cougars,tcu-horned-frogs,ole-miss-rebels,notre-dame-fighting-irish,iowa-hawkeyes,baylor-bears,florida-state-seminoles,michigan-wolverines,lsu-tigers,north-carolina-tar-heels,navy-midshipmen,wisconsin-badgers,utah-utes,oregon-ducks,western-kentucky-hilltoppers,oklahoma-state-cowboys,florida-gators,tennessee-volunteers,northwestern-wildcats
chadd-cripe,2015,17,alabama-crimson-tide,clemson-tigers,michigan-state-spartans,ohio-state-buckeyes,stanford-cardinal,oklahoma-sooners,iowa-hawkeyes,houston-cougars,notre-dame-fighting-irish,ole-miss-rebels,tcu-horned-frogs,baylor-bears,utah-utes,michigan-wolverines,lsu-tigers,oregon-ducks,wisconsin-badgers,north-carolina-tar-heels,florida-state-seminoles,tennessee-volunteers,oklahoma-state-cowboys,washington-state-cougars,northwestern-wildcats,navy-midshipmen,san-diego-state-aztecs
chris-murray,2015,17,alabama-crimson-tide,clemson-tigers,stanford-cardinal,ohio-state-buckeyes,oklahoma-sooners,michigan-state-spartans,tcu-horned-frogs,ole-miss-rebels,notre-dame-fighting-irish,iowa-hawkeyes,baylor-bears,lsu-tigers,utah-utes,michigan-wolverines,north-carolina-tar-heels,houston-cougars,oklahoma-state-cowboys,florida-state-seminoles,oregon-ducks,florida-gators,washington-state-cougars,northwestern-wildcats,wisconsin-badgers,tennessee-volunteers,navy-midshipmen
dave-reardon,2015,17,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,stanford-cardinal,houston-cougars,michigan-wolverines,oklahoma-sooners,michigan-state-spartans,ole-miss-rebels,tcu-horned-frogs,baylor-bears,iowa-hawkeyes,navy-midshipmen,notre-dame-fighting-irish,oklahoma-state-cowboys,lsu-tigers,north-carolina-tar-heels,wisconsin-badgers,oregon-ducks,western-kentucky-hilltoppers,tennessee-volunteers,florida-state-seminoles,utah-utes,san-diego-state-aztecs,appalachian-state-mountaineers
david-briggs,2015,17,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,stanford-cardinal,oklahoma-sooners,michigan-state-spartans,houston-cougars,tcu-horned-frogs,notre-dame-fighting-irish,michigan-wolverines,iowa-hawkeyes,ole-miss-rebels,baylor-bears,utah-utes,north-carolina-tar-heels,navy-midshipmen,lsu-tigers,florida-state-seminoles,oregon-ducks,wisconsin-badgers,tennessee-volunteers,northwestern-wildcats,georgia-bulldogs,toledo-rockets,western-kentucky-hilltoppers
doug-doughty,2015,17,alabama-crimson-tide,clemson-tigers,stanford-cardinal,ohio-state-buckeyes,oklahoma-sooners,michigan-state-spartans,iowa-hawkeyes,michigan-wolverines,tcu-horned-frogs,houston-cougars,ole-miss-rebels,baylor-bears,notre-dame-fighting-irish,florida-state-seminoles,lsu-tigers,wisconsin-badgers,navy-midshipmen,utah-utes,north-carolina-tar-heels,georgia-bulldogs,oregon-ducks,oklahoma-state-cowboys,mississippi-state-bulldogs,tennessee-volunteers,san-diego-state-aztecs
doug-lesmerises,2015,17,alabama-crimson-tide,clemson-tigers,oklahoma-sooners,michigan-state-spartans,ohio-state-buckeyes,stanford-cardinal,houston-cougars,tcu-horned-frogs,iowa-hawkeyes,ole-miss-rebels,notre-dame-fighting-irish,baylor-bears,michigan-wolverines,north-carolina-tar-heels,northwestern-wildcats,utah-utes,navy-midshipmen,lsu-tigers,florida-state-seminoles,oklahoma-state-cowboys,wisconsin-badgers,florida-gators,tennessee-volunteers,western-kentucky-hilltoppers,toledo-rockets
