Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2015,15,clemson-tigers,alabama-crimson-tide,michigan-state-spartans,oklahoma-sooners,stanford-cardinal,iowa-hawkeyes,ohio-state-buckeyes,north-carolina-tar-heels,tcu-horned-frogs,notre-dame-fighting-irish,florida-state-seminoles,houston-cougars,ole-miss-rebels,northwestern-wildcats,oklahoma-state-cowboys,oregon-ducks,florida-gators,utah-utes,michigan-wolverines,baylor-bears,lsu-tigers,navy-midshipmen,wisconsin-badgers,usc-trojans,temple-owls
adam-zucker,2015,15,alabama-crimson-tide,clemson-tigers,oklahoma-sooners,michigan-state-spartans,ohio-state-buckeyes,iowa-hawkeyes,stanford-cardinal,notre-dame-fighting-irish,north-carolina-tar-heels,florida-state-seminoles,tcu-horned-frogs,oregon-ducks,ole-miss-rebels,houston-cougars,baylor-bears,oklahoma-state-cowboys,michigan-wolverines,northwestern-wildcats,florida-gators,navy-midshipmen,utah-utes,temple-owls,washington-state-cougars,wisconsin-badgers,san-diego-state-aztecs
bob-asmussen,2015,15,clemson-tigers,alabama-crimson-tide,michigan-state-spartans,oklahoma-sooners,ohio-state-buckeyes,iowa-hawkeyes,stanford-cardinal,notre-dame-fighting-irish,tcu-horned-frogs,northwestern-wildcats,north-carolina-tar-heels,florida-state-seminoles,oklahoma-state-cowboys,houston-cougars,oregon-ducks,ole-miss-rebels,michigan-wolverines,florida-gators,baylor-bears,lsu-tigers,western-kentucky-hilltoppers,utah-utes,wisconsin-badgers,navy-midshipmen,san-diego-state-aztecs
brent-axe,2015,15,clemson-tigers,alabama-crimson-tide,michigan-state-spartans,oklahoma-sooners,ohio-state-buckeyes,stanford-cardinal,iowa-hawkeyes,north-carolina-tar-heels,notre-dame-fighting-irish,houston-cougars,florida-state-seminoles,oklahoma-state-cowboys,tcu-horned-frogs,northwestern-wildcats,florida-gators,oregon-ducks,ole-miss-rebels,bowling-green-falcons,baylor-bears,western-kentucky-hilltoppers,navy-midshipmen,michigan-wolverines,wisconsin-badgers,lsu-tigers,temple-owls
brett-mcmurphy,2015,15,clemson-tigers,alabama-crimson-tide,michigan-state-spartans,oklahoma-sooners,stanford-cardinal,iowa-hawkeyes,tcu-horned-frogs,ohio-state-buckeyes,notre-dame-fighting-irish,northwestern-wildcats,oklahoma-state-cowboys,oregon-ducks,florida-state-seminoles,houston-cougars,michigan-wolverines,ole-miss-rebels,north-carolina-tar-heels,utah-utes,wisconsin-badgers,lsu-tigers,baylor-bears,western-kentucky-hilltoppers,san-diego-state-aztecs,florida-gators,temple-owls
brian-howell,2015,15,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,michigan-state-spartans,stanford-cardinal,iowa-hawkeyes,ohio-state-buckeyes,notre-dame-fighting-irish,florida-state-seminoles,houston-cougars,north-carolina-tar-heels,tcu-horned-frogs,northwestern-wildcats,ole-miss-rebels,oregon-ducks,baylor-bears,oklahoma-state-cowboys,michigan-wolverines,lsu-tigers,florida-gators,wisconsin-badgers,temple-owls,navy-midshipmen,utah-utes,western-kentucky-hilltoppers
chadd-cripe,2015,15,clemson-tigers,michigan-state-spartans,alabama-crimson-tide,oklahoma-sooners,ohio-state-buckeyes,iowa-hawkeyes,stanford-cardinal,notre-dame-fighting-irish,north-carolina-tar-heels,florida-state-seminoles,ole-miss-rebels,northwestern-wildcats,oregon-ducks,oklahoma-state-cowboys,tcu-horned-frogs,houston-cougars,florida-gators,usc-trojans,utah-utes,baylor-bears,temple-owls,michigan-wolverines,lsu-tigers,wisconsin-badgers,washington-state-cougars
chris-murray,2015,15,clemson-tigers,michigan-state-spartans,alabama-crimson-tide,oklahoma-sooners,stanford-cardinal,ohio-state-buckeyes,iowa-hawkeyes,tcu-horned-frogs,notre-dame-fighting-irish,north-carolina-tar-heels,oklahoma-state-cowboys,northwestern-wildcats,florida-state-seminoles,ole-miss-rebels,oregon-ducks,lsu-tigers,utah-utes,michigan-wolverines,florida-gators,baylor-bears,houston-cougars,wisconsin-badgers,washington-state-cougars,navy-midshipmen,western-kentucky-hilltoppers
dave-reardon,2015,15,clemson-tigers,alabama-crimson-tide,michigan-state-spartans,oklahoma-sooners,iowa-hawkeyes,ohio-state-buckeyes,stanford-cardinal,notre-dame-fighting-irish,tcu-horned-frogs,north-carolina-tar-heels,florida-state-seminoles,oklahoma-state-cowboys,northwestern-wildcats,houston-cougars,florida-gators,ole-miss-rebels,michigan-wolverines,oregon-ducks,baylor-bears,wisconsin-badgers,navy-midshipmen,temple-owls,western-kentucky-hilltoppers,utah-utes,memphis-tigers
david-briggs,2015,15,clemson-tigers,michigan-state-spartans,alabama-crimson-tide,oklahoma-sooners,iowa-hawkeyes,ohio-state-buckeyes,stanford-cardinal,notre-dame-fighting-irish,north-carolina-tar-heels,florida-state-seminoles,tcu-horned-frogs,northwestern-wildcats,houston-cougars,oregon-ducks,ole-miss-rebels,michigan-wolverines,oklahoma-state-cowboys,utah-utes,florida-gators,navy-midshipmen,lsu-tigers,wisconsin-badgers,baylor-bears,temple-owls,georgia-bulldogs
doug-doughty,2015,15,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,michigan-state-spartans,stanford-cardinal,ohio-state-buckeyes,notre-dame-fighting-irish,iowa-hawkeyes,florida-state-seminoles,tcu-horned-frogs,oklahoma-state-cowboys,ole-miss-rebels,northwestern-wildcats,houston-cougars,north-carolina-tar-heels,oregon-ducks,michigan-wolverines,baylor-bears,lsu-tigers,utah-utes,wisconsin-badgers,florida-gators,tennessee-volunteers,usc-trojans,byu-cougars
