Player,Borda Points
Freeman,88
Betts,53
Machado,20
Tatis,9
Soto,8
Ozuna,2
Turner,0
Yastrzemski,0
Bauer,0
Fried,0
AcunaJr,0
Seager,0
Swanson,0
Belt,0
Darvish,0
Smith,0
Goldschmidt,0
Williams,0
Story,0
Happ,0
Myers,0
Tepera,0
