Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2014,AL,"('Altuve', 'Jones')","(13, 14)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon', 'Kluber', 'Hernandez')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera', 'Gordon', 'Kluber', 'Hernandez')","(1, 2, 3, 4, 6, 5, 8, 7, 9, 10, 11, 12)"
2012,NL,"('Phillips', 'Dickey')","(13, 14)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday', 'Chapman')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday', 'Chapman')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11, 12)"
2012,AL,"('Rodney', 'Johnson')","(13, 14)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander', 'Fielder', 'Cespedes', 'Encarnacion', 'Price')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder', 'Verlander', 'Cespedes', 'Encarnacion', 'Price')","(1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 11, 12)"
2014,NL,"('Martin', 'Peralta')","(13, 14)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright', 'Harrison', 'Rizzo', 'Pence', 'Cueto')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison', 'Wainwright', 'Rizzo', 'Pence', 'Cueto')","(1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 11, 12)"
2013,NL,"('Werth', 'Simmons')","(13, 14)","('McCutchen', 'Goldschmidt', 'Molina', 'Carpenter', 'Freeman', 'Votto', 'Kershaw', 'Ramirez', 'Gomez', 'Bruce', 'Kimbrel', 'Choo')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","('McCutchen', 'Goldschmidt', 'Molina', 'Carpenter', 'Freeman', 'Votto', 'Kershaw', 'Ramirez', 'Gomez', 'Bruce', 'Choo', 'Kimbrel')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 11)"
