Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2014,AL,"('Altuve',)","(13,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera')","(1, 2, 3, 4, 6, 5, 8, 7, 9)"
2012,NL,"('Bruce',)","(10,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 7, 6, 8, 9)"
2012,NL,"('Holliday',)","(11,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 7, 6, 8, 9)"
2012,NL,"('Chapman',)","(12,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 7, 6, 8, 9)"
2012,NL,"('Phillips',)","(13,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 7, 6, 8, 9)"
2012,NL,"('Dickey',)","(14,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez')","(1, 2, 3, 4, 5, 7, 6, 8, 9)"
2014,AL,"('Jones',)","(14,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson', 'Cruz', 'Cabrera')","(1, 2, 3, 4, 5, 6, 8, 7, 9)"
2023,NL,"('Bellinger',)","(10,)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley', 'Arraez', 'Lindor')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez', 'Riley', 'Lindor')","(1, 2, 3, 4, 5, 6, 8, 7, 9)"
2015,AL,"('Altuve',)","(10,)","('Donaldson', 'Trout', 'Cain', 'Machado', 'Keuchel', 'Cruz', 'Beltre', 'Bautista', 'Price')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Donaldson', 'Trout', 'Cain', 'Machado', 'Keuchel', 'Cruz', 'Bautista', 'Beltre', 'Price')","(1, 2, 3, 4, 5, 6, 8, 7, 9)"
2023,NL,"('Harper',)","(12,)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley', 'Arraez', 'Lindor')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez', 'Riley', 'Lindor')","(1, 2, 3, 4, 5, 6, 8, 7, 9)"
2014,AL,"('Kluber',)","(11,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson', 'Cruz', 'Cabrera')","(1, 2, 3, 4, 5, 6, 8, 7, 9)"
2013,AL,"('Scherzer',)","(12,)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Beltre', 'Pedroia', 'Machado')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Pedroia', 'Beltre', 'Machado')","(1, 2, 3, 4, 5, 6, 8, 7, 9)"
2012,AL,"('Rodney',)","(13,)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander', 'Fielder')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder', 'Verlander')","(1, 2, 3, 4, 5, 6, 7, 9, 8)"
2014,NL,"('Rizzo',)","(10,)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright', 'Harrison')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison', 'Wainwright')","(1, 2, 3, 4, 5, 6, 7, 9, 8)"
2014,NL,"('Pence',)","(11,)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright', 'Harrison')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison', 'Wainwright')","(1, 2, 3, 4, 5, 6, 7, 9, 8)"
2014,NL,"('Peralta',)","(14,)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright', 'Harrison')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison', 'Wainwright')","(1, 2, 3, 4, 5, 6, 7, 9, 8)"
2012,AL,"('Johnson',)","(14,)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander', 'Fielder')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder', 'Verlander')","(1, 2, 3, 4, 5, 6, 7, 9, 8)"
2012,AL,"('Encarnacion',)","(11,)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander', 'Fielder')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder', 'Verlander')","(1, 2, 3, 4, 5, 6, 7, 9, 8)"
2016,AL,"('Seager',)","(12,)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Machado', 'Ortiz', 'Beltre', 'Cano', 'Cabrera')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Machado', 'Ortiz', 'Beltre', 'Cano', 'Lindor')","(1, 2, 3, 4, 5, 6, 7, 8, 10)"
2019,AL,"('Verlander',)","(11,)","('Trout', 'Bregman', 'Semien', 'LeMahieu', 'Bogaerts', 'Chapman', 'Springer', 'Betts', 'Cruz')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Trout', 'Bregman', 'Semien', 'LeMahieu', 'Bogaerts', 'Chapman', 'Springer', 'Betts', 'Cole')","(1, 2, 3, 4, 5, 6, 7, 8, 10)"
2021,NL,"('Reynolds',)","(11,)","('Harper', 'Soto', 'Tatis', 'Crawford', 'Turner', 'Goldschmidt', 'Riley', 'ONeill', 'Freeman')","(1, 2, 3, 4, 5, 6, 7, 8, 9)","('Harper', 'Soto', 'Tatis', 'Crawford', 'Turner', 'Goldschmidt', 'Riley', 'ONeill', 'Muncy')","(1, 2, 3, 4, 5, 6, 7, 8, 10)"
