Year,League,Removed-Players,RP-Ranking,Original-Players,Original-Rankings,New-Players,New-Rankings
2014,AL,"('Altuve',)","(13,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon', 'Kluber')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Bautista', 'Cano', 'Donaldson', 'Cruz', 'Cabrera', 'Kluber', 'Gordon')","(1, 2, 3, 4, 6, 5, 8, 7, 9, 11, 10)"
2012,NL,"('Chapman',)","(12,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11)"
2012,NL,"('Phillips',)","(13,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11)"
2012,NL,"('Dickey',)","(14,)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Posey', 'Braun', 'McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche', 'Kimbrel', 'Ramirez', 'Bruce', 'Holliday')","(1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11)"
2014,AL,"('Jones',)","(14,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon', 'Kluber')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Donaldson', 'Cruz', 'Cabrera', 'Gordon', 'Altuve')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 13)"
2013,AL,"('Scherzer',)","(12,)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Beltre', 'Pedroia', 'Machado', 'Ortiz', 'Kipnis')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Cabrera', 'Trout', 'DavisC', 'Donaldson', 'Cano', 'Longoria', 'Pedroia', 'Beltre', 'Machado', 'Ortiz', 'Kipnis')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11)"
2023,NL,"('Harper',)","(12,)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Riley', 'Arraez', 'Lindor', 'Bellinger', 'Contreras')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('AcunaJr', 'Betts', 'Freeman', 'Olson', 'Carroll', 'Soto', 'Arraez', 'Riley', 'Lindor', 'Bellinger', 'Contreras')","(1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11)"
2012,AL,"('Rodney',)","(13,)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander', 'Fielder', 'Cespedes', 'Encarnacion')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder', 'Verlander', 'Cespedes', 'Encarnacion')","(1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 11)"
2012,AL,"('Johnson',)","(14,)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Verlander', 'Fielder', 'Cespedes', 'Encarnacion')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Cabrera', 'Trout', 'Beltre', 'Cano', 'Hamilton', 'Jones', 'Jeter', 'Fielder', 'Verlander', 'Cespedes', 'Encarnacion')","(1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 11)"
2014,NL,"('Peralta',)","(14,)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Wainwright', 'Harrison', 'Rizzo', 'Pence')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Kershaw', 'Stanton', 'McCutchen', 'Lucroy', 'Rendon', 'Posey', 'Gonzalez', 'Harrison', 'Wainwright', 'Rizzo', 'Pence')","(1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 11)"
2016,AL,"('Seager',)","(12,)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Machado', 'Ortiz', 'Beltre', 'Cano', 'Cabrera', 'Lindor', 'Britton')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Trout', 'Betts', 'Altuve', 'Donaldson', 'Machado', 'Ortiz', 'Beltre', 'Cano', 'Lindor', 'Cabrera', 'Britton')","(1, 2, 3, 4, 5, 6, 7, 8, 10, 9, 11)"
2014,AL,"('Hernandez',)","(12,)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Gordon', 'Kluber')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","('Trout', 'Martinez', 'Brantley', 'Abreu', 'Cano', 'Bautista', 'Cruz', 'Donaldson', 'Cabrera', 'Kluber', 'Gordon')","(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 10)"
