adam-jude,2016,2,alabama-crimson-tide,florida-state-seminoles,houston-cougars,clemson-tigers,ohio-state-buckeyes,michigan-wolverines,stanford-cardinal,wisconsin-badgers,texas-longhorns,tcu-horned-frogs,notre-dame-fighting-irish,michigan-state-spartans,oklahoma-sooners,baylor-bears,washington-huskies,georgia-bulldogs,lsu-tigers,iowa-hawkeyes,utah-utes,san-diego-state-aztecs,oregon-ducks,ole-miss-rebels,tennessee-volunteers,texas-am-aggies,nebraska-cornhuskers
adam-zucker,2016,2,alabama-crimson-tide,florida-state-seminoles,clemson-tigers,ohio-state-buckeyes,houston-cougars,michigan-wolverines,stanford-cardinal,michigan-state-spartans,georgia-bulldogs,washington-huskies,louisville-cardinals,texas-longhorns,wisconsin-badgers,oklahoma-state-cowboys,texas-am-aggies,iowa-hawkeyes,notre-dame-fighting-irish,tennessee-volunteers,ole-miss-rebels,oklahoma-sooners,baylor-bears,lsu-tigers,byu-cougars,boise-state-broncos,san-diego-state-aztecs
andy-greder,2016,2,alabama-crimson-tide,clemson-tigers,florida-state-seminoles,ohio-state-buckeyes,michigan-wolverines,stanford-cardinal,michigan-state-spartans,houston-cougars,oklahoma-sooners,lsu-tigers,tennessee-volunteers,oklahoma-state-cowboys,iowa-hawkeyes,notre-dame-fighting-irish,ole-miss-rebels,tcu-horned-frogs,georgia-bulldogs,north-carolina-tar-heels,oregon-ducks,baylor-bears,florida-gators,washington-huskies,louisville-cardinals,wisconsin-badgers,texas-longhorns
bill-landis,2016,2,alabama-crimson-tide,houston-cougars,florida-state-seminoles,clemson-tigers,ohio-state-buckeyes,michigan-wolverines,wisconsin-badgers,texas-longhorns,stanford-cardinal,georgia-bulldogs,texas-am-aggies,louisville-cardinals,tcu-horned-frogs,washington-huskies,ole-miss-rebels,oklahoma-sooners,iowa-hawkeyes,oklahoma-state-cowboys,oregon-ducks,michigan-state-spartans,notre-dame-fighting-irish,lsu-tigers,miami-fl-hurricanes,tennessee-volunteers,ucla-bruins
bob-asmussen,2016,2,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,florida-state-seminoles,michigan-wolverines,houston-cougars,georgia-bulldogs,oklahoma-sooners,stanford-cardinal,wisconsin-badgers,lsu-tigers,michigan-state-spartans,washington-huskies,texas-longhorns,notre-dame-fighting-irish,louisville-cardinals,tennessee-volunteers,texas-am-aggies,ole-miss-rebels,iowa-hawkeyes,florida-gators,tcu-horned-frogs,baylor-bears,oregon-ducks,miami-fl-hurricanes
brent-axe,2016,2,alabama-crimson-tide,florida-state-seminoles,clemson-tigers,ohio-state-buckeyes,houston-cougars,michigan-wolverines,stanford-cardinal,texas-longhorns,wisconsin-badgers,georgia-bulldogs,texas-am-aggies,washington-huskies,louisville-cardinals,tcu-horned-frogs,iowa-hawkeyes,michigan-state-spartans,notre-dame-fighting-irish,oklahoma-state-cowboys,oklahoma-sooners,lsu-tigers,tennessee-volunteers,baylor-bears,florida-gators,oregon-ducks,ole-miss-rebels
brett-mcmurphy,2016,2,alabama-crimson-tide,florida-state-seminoles,clemson-tigers,houston-cougars,ohio-state-buckeyes,texas-longhorns,wisconsin-badgers,michigan-wolverines,stanford-cardinal,notre-dame-fighting-irish,washington-huskies,texas-am-aggies,ole-miss-rebels,georgia-bulldogs,louisville-cardinals,oklahoma-state-cowboys,tcu-horned-frogs,michigan-state-spartans,oregon-ducks,miami-fl-hurricanes,san-diego-state-aztecs,tennessee-volunteers,oklahoma-sooners,lsu-tigers,north-carolina-tar-heels
brian-howell,2016,2,alabama-crimson-tide,clemson-tigers,florida-state-seminoles,ohio-state-buckeyes,michigan-wolverines,stanford-cardinal,tennessee-volunteers,houston-cougars,tcu-horned-frogs,oklahoma-sooners,michigan-state-spartans,washington-huskies,ole-miss-rebels,texas-longhorns,notre-dame-fighting-irish,baylor-bears,miami-fl-hurricanes,wisconsin-badgers,lsu-tigers,georgia-bulldogs,san-diego-state-aztecs,texas-am-aggies,iowa-hawkeyes,louisville-cardinals,oklahoma-state-cowboys
chris-murray,2016,2,alabama-crimson-tide,florida-state-seminoles,clemson-tigers,houston-cougars,ohio-state-buckeyes,stanford-cardinal,michigan-wolverines,michigan-state-spartans,texas-longhorns,georgia-bulldogs,washington-huskies,tcu-horned-frogs,utah-utes,louisville-cardinals,notre-dame-fighting-irish,wisconsin-badgers,texas-am-aggies,oklahoma-sooners,ole-miss-rebels,oklahoma-state-cowboys,iowa-hawkeyes,baylor-bears,oregon-ducks,san-diego-state-aztecs,lsu-tigers
chuck-carlton,2016,2,alabama-crimson-tide,florida-state-seminoles,clemson-tigers,michigan-wolverines,ohio-state-buckeyes,houston-cougars,stanford-cardinal,tcu-horned-frogs,michigan-state-spartans,georgia-bulldogs,washington-huskies,iowa-hawkeyes,louisville-cardinals,oklahoma-state-cowboys,texas-am-aggies,oklahoma-sooners,wisconsin-badgers,texas-longhorns,tennessee-volunteers,lsu-tigers,baylor-bears,utah-utes,notre-dame-fighting-irish,ucla-bruins,ole-miss-rebels
