Teams,Borda Points
florida-state-seminoles,111
oregon-ducks,91
alabama-crimson-tide,82
oklahoma-sooners,53
auburn-tigers,13
texas-am-aggies,6
baylor-bears,2
mississippi-state-bulldogs,2
ucla-bruins,0
michigan-state-spartans,0
notre-dame-fighting-irish,0
ole-miss-rebels,0
georgia-bulldogs,0
lsu-tigers,0
stanford-cardinal,0
oklahoma-state-cowboys,0
byu-cougars,0
usc-trojans,0
wisconsin-badgers,0
nebraska-cornhuskers,0
arkansas-razorbacks,0
kansas-state-wildcats,0
ohio-state-buckeyes,0
west-virginia-mountaineers,0
tcu-horned-frogs,0
clemson-tigers,0
south-carolina-gamecocks,0
arizona-state-sun-devils,0
missouri-tigers,0
east-carolina-pirates,0
georgia-tech-yellow-jackets,0
marshall-thundering-herd,0
arizona-wildcats,0
louisville-cardinals,0
north-dakota-state-bison,0
washington-huskies,0
maryland-terrapins,0
virginia-cavaliers,0
north-carolina-state-wolfpack,0
