Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-cole,2023,13,georgia-bulldogs,washington-huskies,ohio-state-buckeyes,michigan-wolverines,florida-state-seminoles,oregon-ducks,alabama-crimson-tide,texas-longhorns,missouri-tigers,louisville-cardinals,oklahoma-sooners,ole-miss-rebels,lsu-tigers,arizona-wildcats,kansas-state-wildcats,oregon-state-beavers,penn-state-nittany-lions,notre-dame-fighting-irish,iowa-hawkeyes,oklahoma-state-cowboys,tulane-green-wave,liberty-flames,southern-methodist-mustangs,unlv-rebels,toledo-rockets
adam-zucker,2023,13,georgia-bulldogs,ohio-state-buckeyes,michigan-wolverines,washington-huskies,florida-state-seminoles,oregon-ducks,texas-longhorns,alabama-crimson-tide,louisville-cardinals,missouri-tigers,penn-state-nittany-lions,ole-miss-rebels,lsu-tigers,arizona-wildcats,oregon-state-beavers,oklahoma-state-cowboys,notre-dame-fighting-irish,oklahoma-sooners,tulane-green-wave,iowa-hawkeyes,kansas-state-wildcats,tennessee-volunteers,utah-utes,unlv-rebels,toledo-rockets
amie-just,2023,13,georgia-bulldogs,ohio-state-buckeyes,michigan-wolverines,washington-huskies,florida-state-seminoles,oregon-ducks,texas-longhorns,alabama-crimson-tide,louisville-cardinals,penn-state-nittany-lions,missouri-tigers,ole-miss-rebels,tulane-green-wave,lsu-tigers,oregon-state-beavers,arizona-wildcats,oklahoma-sooners,kansas-state-wildcats,notre-dame-fighting-irish,james-madison-dukes,oklahoma-state-cowboys,liberty-flames,iowa-hawkeyes,toledo-rockets,unlv-rebels
blair-kerkhoff,2023,13,georgia-bulldogs,michigan-wolverines,ohio-state-buckeyes,florida-state-seminoles,washington-huskies,oregon-ducks,texas-longhorns,alabama-crimson-tide,missouri-tigers,louisville-cardinals,penn-state-nittany-lions,ole-miss-rebels,oklahoma-sooners,oregon-state-beavers,lsu-tigers,arizona-wildcats,tulane-green-wave,oklahoma-state-cowboys,kansas-state-wildcats,notre-dame-fighting-irish,iowa-hawkeyes,liberty-flames,north-carolina-state-wolfpack,toledo-rockets,unlv-rebels
bob-asmussen,2023,13,georgia-bulldogs,ohio-state-buckeyes,michigan-wolverines,florida-state-seminoles,washington-huskies,texas-longhorns,oregon-ducks,alabama-crimson-tide,louisville-cardinals,missouri-tigers,penn-state-nittany-lions,ole-miss-rebels,oklahoma-sooners,tulane-green-wave,oregon-state-beavers,lsu-tigers,arizona-wildcats,notre-dame-fighting-irish,iowa-hawkeyes,oklahoma-state-cowboys,toledo-rockets,kansas-state-wildcats,southern-methodist-mustangs,liberty-flames,north-carolina-state-wolfpack
brett-mcmurphy,2023,13,georgia-bulldogs,ohio-state-buckeyes,michigan-wolverines,washington-huskies,florida-state-seminoles,texas-longhorns,oregon-ducks,alabama-crimson-tide,louisville-cardinals,missouri-tigers,ole-miss-rebels,arizona-wildcats,lsu-tigers,oklahoma-sooners,oregon-state-beavers,penn-state-nittany-lions,notre-dame-fighting-irish,oklahoma-state-cowboys,kansas-state-wildcats,iowa-hawkeyes,liberty-flames,tulane-green-wave,unlv-rebels,north-carolina-state-wolfpack,utah-utes
brian-fonseca,2023,13,georgia-bulldogs,michigan-wolverines,ohio-state-buckeyes,washington-huskies,florida-state-seminoles,oregon-ducks,texas-longhorns,alabama-crimson-tide,louisville-cardinals,missouri-tigers,penn-state-nittany-lions,oklahoma-sooners,ole-miss-rebels,arizona-wildcats,lsu-tigers,oregon-state-beavers,tulane-green-wave,iowa-hawkeyes,kansas-state-wildcats,oklahoma-state-cowboys,liberty-flames,toledo-rockets,unlv-rebels,southern-methodist-mustangs,notre-dame-fighting-irish
brian-howell,2023,13,georgia-bulldogs,michigan-wolverines,florida-state-seminoles,ohio-state-buckeyes,washington-huskies,oregon-ducks,texas-longhorns,alabama-crimson-tide,louisville-cardinals,missouri-tigers,ole-miss-rebels,oregon-state-beavers,lsu-tigers,penn-state-nittany-lions,oklahoma-sooners,arizona-wildcats,notre-dame-fighting-irish,tulane-green-wave,liberty-flames,iowa-hawkeyes,toledo-rockets,kansas-state-wildcats,unlv-rebels,southern-methodist-mustangs,north-carolina-state-wolfpack
chad-leistikow,2023,13,georgia-bulldogs,washington-huskies,michigan-wolverines,ohio-state-buckeyes,florida-state-seminoles,oregon-ducks,texas-longhorns,alabama-crimson-tide,louisville-cardinals,missouri-tigers,penn-state-nittany-lions,oklahoma-sooners,ole-miss-rebels,lsu-tigers,oregon-state-beavers,notre-dame-fighting-irish,arizona-wildcats,iowa-hawkeyes,kansas-state-wildcats,tulane-green-wave,oklahoma-state-cowboys,liberty-flames,toledo-rockets,clemson-tigers,unlv-rebels
chris-murray,2023,13,georgia-bulldogs,washington-huskies,ohio-state-buckeyes,florida-state-seminoles,michigan-wolverines,oregon-ducks,texas-longhorns,alabama-crimson-tide,louisville-cardinals,missouri-tigers,oklahoma-sooners,ole-miss-rebels,penn-state-nittany-lions,arizona-wildcats,oregon-state-beavers,lsu-tigers,tulane-green-wave,oklahoma-state-cowboys,kansas-state-wildcats,notre-dame-fighting-irish,liberty-flames,iowa-hawkeyes,unlv-rebels,north-carolina-state-wolfpack,toledo-rockets
chuck-landon,2023,13,georgia-bulldogs,michigan-wolverines,ohio-state-buckeyes,florida-state-seminoles,washington-huskies,oregon-ducks,texas-longhorns,alabama-crimson-tide,louisville-cardinals,missouri-tigers,ole-miss-rebels,oklahoma-sooners,penn-state-nittany-lions,lsu-tigers,arizona-wildcats,oregon-state-beavers,tulane-green-wave,notre-dame-fighting-irish,iowa-hawkeyes,kansas-state-wildcats,liberty-flames,james-madison-dukes,oklahoma-state-cowboys,toledo-rockets,tennessee-volunteers
