Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-cole,2023,4,georgia-bulldogs,michigan-wolverines,ohio-state-buckeyes,florida-state-seminoles,usc-trojans,notre-dame-fighting-irish,texas-longhorns,washington-huskies,penn-state-nittany-lions,alabama-crimson-tide,oregon-ducks,oklahoma-sooners,lsu-tigers,ole-miss-rebels,colorado-buffaloes,oregon-state-beavers,north-carolina-tar-heels,tennessee-volunteers,utah-utes,kansas-state-wildcats,washington-state-cougars,kansas-jayhawks,miami-fl-hurricanes,duke-blue-devils,missouri-tigers
adam-zucker,2023,4,georgia-bulldogs,michigan-wolverines,usc-trojans,texas-longhorns,florida-state-seminoles,washington-huskies,ohio-state-buckeyes,penn-state-nittany-lions,notre-dame-fighting-irish,oregon-ducks,ole-miss-rebels,oregon-state-beavers,utah-utes,miami-fl-hurricanes,duke-blue-devils,north-carolina-tar-heels,oklahoma-sooners,lsu-tigers,alabama-crimson-tide,washington-state-cougars,colorado-buffaloes,missouri-tigers,tulane-green-wave,florida-gators,tennessee-volunteers
amie-just,2023,4,georgia-bulldogs,michigan-wolverines,texas-longhorns,florida-state-seminoles,usc-trojans,ohio-state-buckeyes,penn-state-nittany-lions,washington-huskies,notre-dame-fighting-irish,utah-utes,oregon-ducks,lsu-tigers,alabama-crimson-tide,oregon-state-beavers,oklahoma-sooners,north-carolina-tar-heels,ole-miss-rebels,duke-blue-devils,miami-fl-hurricanes,washington-state-cougars,colorado-buffaloes,tennessee-volunteers,ucla-bruins,iowa-hawkeyes,missouri-tigers
blair-kerkhoff,2023,4,georgia-bulldogs,michigan-wolverines,florida-state-seminoles,texas-longhorns,ohio-state-buckeyes,usc-trojans,penn-state-nittany-lions,washington-huskies,notre-dame-fighting-irish,alabama-crimson-tide,utah-utes,oregon-ducks,lsu-tigers,oregon-state-beavers,ole-miss-rebels,oklahoma-sooners,north-carolina-tar-heels,colorado-buffaloes,duke-blue-devils,miami-fl-hurricanes,tennessee-volunteers,washington-state-cougars,ucla-bruins,missouri-tigers,iowa-hawkeyes
bob-asmussen,2023,4,georgia-bulldogs,texas-longhorns,michigan-wolverines,florida-state-seminoles,usc-trojans,ohio-state-buckeyes,penn-state-nittany-lions,washington-huskies,notre-dame-fighting-irish,oregon-ducks,alabama-crimson-tide,utah-utes,lsu-tigers,miami-fl-hurricanes,oregon-state-beavers,duke-blue-devils,colorado-buffaloes,oklahoma-sooners,north-carolina-tar-heels,clemson-tigers,ole-miss-rebels,iowa-hawkeyes,washington-state-cougars,ucla-bruins,missouri-tigers
brett-mcmurphy,2023,4,texas-longhorns,florida-state-seminoles,georgia-bulldogs,michigan-wolverines,washington-huskies,penn-state-nittany-lions,usc-trojans,oregon-ducks,ohio-state-buckeyes,notre-dame-fighting-irish,oregon-state-beavers,lsu-tigers,alabama-crimson-tide,duke-blue-devils,ole-miss-rebels,north-carolina-tar-heels,ucla-bruins,utah-utes,washington-state-cougars,miami-fl-hurricanes,oklahoma-sooners,colorado-buffaloes,iowa-hawkeyes,florida-gators,missouri-tigers
brian-fonseca,2023,4,georgia-bulldogs,michigan-wolverines,texas-longhorns,penn-state-nittany-lions,florida-state-seminoles,usc-trojans,ohio-state-buckeyes,washington-huskies,notre-dame-fighting-irish,utah-utes,oregon-ducks,ole-miss-rebels,alabama-crimson-tide,colorado-buffaloes,oregon-state-beavers,miami-fl-hurricanes,florida-gators,duke-blue-devils,north-carolina-tar-heels,lsu-tigers,tennessee-volunteers,kansas-state-wildcats,oklahoma-sooners,washington-state-cougars,missouri-tigers
brian-howell,2023,4,georgia-bulldogs,michigan-wolverines,florida-state-seminoles,texas-longhorns,usc-trojans,ohio-state-buckeyes,penn-state-nittany-lions,alabama-crimson-tide,utah-utes,notre-dame-fighting-irish,washington-huskies,oregon-ducks,oklahoma-sooners,oregon-state-beavers,duke-blue-devils,lsu-tigers,colorado-buffaloes,tennessee-volunteers,ole-miss-rebels,north-carolina-tar-heels,miami-fl-hurricanes,clemson-tigers,iowa-hawkeyes,washington-state-cougars,missouri-tigers
chad-leistikow,2023,4,georgia-bulldogs,michigan-wolverines,texas-longhorns,ohio-state-buckeyes,florida-state-seminoles,usc-trojans,washington-huskies,penn-state-nittany-lions,notre-dame-fighting-irish,oregon-ducks,utah-utes,lsu-tigers,alabama-crimson-tide,oklahoma-sooners,oregon-state-beavers,ole-miss-rebels,colorado-buffaloes,duke-blue-devils,north-carolina-tar-heels,miami-fl-hurricanes,washington-state-cougars,ucla-bruins,iowa-hawkeyes,tennessee-volunteers,fresno-state-bulldogs
chris-murray,2023,4,georgia-bulldogs,texas-longhorns,michigan-wolverines,florida-state-seminoles,washington-huskies,penn-state-nittany-lions,usc-trojans,ohio-state-buckeyes,utah-utes,notre-dame-fighting-irish,oregon-ducks,oregon-state-beavers,duke-blue-devils,alabama-crimson-tide,ole-miss-rebels,north-carolina-tar-heels,washington-state-cougars,colorado-buffaloes,lsu-tigers,miami-fl-hurricanes,oklahoma-sooners,ucla-bruins,missouri-tigers,iowa-hawkeyes,florida-gators
chuck-landon,2023,4,georgia-bulldogs,michigan-wolverines,texas-longhorns,florida-state-seminoles,usc-trojans,ohio-state-buckeyes,penn-state-nittany-lions,washington-huskies,notre-dame-fighting-irish,utah-utes,oregon-ducks,lsu-tigers,alabama-crimson-tide,oregon-state-beavers,ole-miss-rebels,tennessee-volunteers,oklahoma-sooners,colorado-buffaloes,north-carolina-tar-heels,duke-blue-devils,miami-fl-hurricanes,washington-state-cougars,ucla-bruins,iowa-hawkeyes,clemson-tigers
